dataset,alpha,critic_multiplier,weight_decay,num_seeds,seed_values,diverged_count,all_seeds_present,eligible_for_selection,selection_rank,mean_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,mean_final_test_mse,mean_final_vs_best_validation_gap,mean_last_50_val_mse_std,mean_last_50_train_mse_std,mean_runtime_seconds,selection_rule
abs,0.5,20.0,0.001,3,0|1|2,0,True,True,1,0.005930080882346574,0.0060582853405837835,0.0033480909741409465,0.006581849402708818,0.006765114884054554,0.0006517685203622442,0.0012684722727201979,0.0012884286581710891,199.23759563763937,lowest mean_best_validation_mse; tie-break mean_last_50_val_mse_std; tie-break mean_final_vs_best_validation_gap; diverged_count must be 0
linear,0.5,20.0,0.001,3,0|1|2,0,True,True,1,0.0009544190360002945,0.0009676150524905301,0.0007315185579499761,0.0013076243276817499,0.001336199755658146,0.0003532052916814553,0.00025595070882110014,0.0002573893539877013,192.46717508633932,lowest mean_best_validation_mse; tie-break mean_last_50_val_mse_std; tie-break mean_final_vs_best_validation_gap; diverged_count must be 0
step,0.5,20.0,0.001,3,0|1|2,0,True,True,1,0.02810324427426296,0.028600822706690954,0.0025740956472578634,0.02850262735521215,0.02902914359673654,0.0003993830809491915,0.0003989071616774295,0.00041268236374214935,193.5645191669464,lowest mean_best_validation_mse; tie-break mean_last_50_val_mse_std; tie-break mean_final_vs_best_validation_gap; diverged_count must be 0
