dataset,alpha,selected_critic_multiplier,selected_weight_decay,tuned_mean_best_validation_mse,tuned_mean_test_mse_at_best_validation,tuned_std_test_mse_at_best_validation,tuned_oscillation_score,tuned_diverged_count,current_fedogda_mean_best_validation_mse,current_fedogda_mean_test_mse_at_best_validation,current_fedogda_std_test_mse_at_best_validation,current_fedogda_oscillation_score,current_fedogda_diverged_count,fedgda_mean_best_validation_mse,fedgda_mean_test_mse_at_best_validation,fedgda_std_test_mse_at_best_validation,fedgda_oscillation_score,fedgda_diverged_count,tuned_minus_current_fedogda_test_mse,tuned_minus_fedgda_test_mse,tuned_test_ratio_vs_current_fedogda,tuned_test_ratio_vs_fedgda,tuned_oscillation_minus_current_fedogda,tuned_oscillation_minus_fedgda,tuned_improves_over_current_fedogda_validation,tuned_improves_over_current_fedogda_test,tuned_reduces_oscillation_vs_current_fedogda,tuned_reduces_oscillation_vs_fedgda,tuned_better_test_than_fedgda,no_tuned_divergence
abs,0.5,20.0,0.001,0.005930080882346574,0.0060582853405837835,0.0033480909741409465,0.0012684722727201979,0,0.015047340766347962,0.015362574723562323,0.012059536523134611,0.0026644094345052347,0,0.0026495178539163466,0.002709909146004257,0.0027316954048121097,0.0017326038759320024,0,-0.00930428938297854,0.0033483761945795267,0.39435351492819093,2.235604595643616,-0.0013959371617850368,-0.0004641316032118045,True,True,True,True,False,True
linear,0.5,20.0,0.001,0.0009544190360002945,0.0009676150524905301,0.0007315185579499761,0.00025595070882110014,0,0.002873949963311854,0.00293433955738258,0.0030523854998988527,0.0011235251957301129,0,0.00035298375979572906,0.0003564817868720624,0.00014172438579032015,0.004006257077271833,0,-0.00196672450489205,0.0006111332656184676,0.3297556515080481,2.714346393348272,-0.0008675744869090128,-0.0037503063684507327,True,True,True,True,False,True
step,0.5,20.0,0.001,0.02810324427426296,0.028600822706690954,0.0025740956472578634,0.0003989071616774295,0,0.02923679149210066,0.02978609531745534,0.002718530781074436,0.000375021407205216,0,0.025922972833077443,0.026267388165344286,0.001895291695808903,0.002988180032230676,0,-0.0011852726107643846,0.0023334345413466677,0.9602071839852809,1.0888339002971474,2.388575447221351e-05,-0.0025892728705532463,True,True,False,True,False,True
