run_id,method,dataset,alpha,seed,critic_multiplier,weight_decay,best_validation_mse,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,final_vs_best_validation_gap,last_50_val_mse_std,last_50_train_mse_std,diverged,runtime_seconds,result_dir
tune_fedogda_s_abs_seed0_alpha0p5_cm20_wd0p03,fedogda_s,abs,0.5,0,20.0,0.03,0.0017172040024262657,0.001762419082242673,499,0.0017172040024262649,0.001762419082242673,-8.673617379884035e-19,0.0014077502889386958,0.0014202183666781967,False,189.10163688659668,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_0/tune_fedogda_s_abs_seed0_alpha0p5_cm20_wd0p03
tune_fedogda_s_abs_seed0_alpha0p5_cm20_wd0p1,fedogda_s,abs,0.5,0,20.0,0.1,0.0017172040024262657,0.001762419082242673,499,0.0017172040024262649,0.001762419082242673,-8.673617379884035e-19,0.0014077502889386958,0.0014202183666781967,False,193.6718499660492,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_0/tune_fedogda_s_abs_seed0_alpha0p5_cm20_wd0p1
tune_fedogda_s_abs_seed1_alpha0p5_cm2_wd0p001,fedogda_s,abs,0.5,1,2.0,0.001,0.09891974501325526,0.10098465995080096,468,0.1176289634348689,0.12119175346099849,0.018709218421613633,0.005673783229834855,0.005763875678784077,False,196.7100887298584,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm2_wd0p001
tune_fedogda_s_abs_seed1_alpha0p5_cm2_wd0p01,fedogda_s,abs,0.5,1,2.0,0.01,0.09891974501325526,0.10098465995080096,468,0.1176289634348689,0.12119175346099849,0.018709218421613633,0.005673783229834855,0.005763875678784077,False,197.71453046798706,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm2_wd0p01
tune_fedogda_s_abs_seed1_alpha0p5_cm2_wd0p03,fedogda_s,abs,0.5,1,2.0,0.03,0.09891974501325526,0.10098465995080096,468,0.1176289634348689,0.12119175346099849,0.018709218421613633,0.005673783229834855,0.005763875678784077,False,204.72589635849,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm2_wd0p03
tune_fedogda_s_abs_seed1_alpha0p5_cm2_wd0p1,fedogda_s,abs,0.5,1,2.0,0.1,0.09891974501325526,0.10098465995080096,468,0.1176289634348689,0.12119175346099849,0.018709218421613633,0.005673783229834855,0.005763875678784077,False,195.0127329826355,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm2_wd0p1
tune_fedogda_s_abs_seed1_alpha0p5_cm5_wd0p001,fedogda_s,abs,0.5,1,5.0,0.001,0.017574532675464903,0.017671829539231344,499,0.017574532675464896,0.017671829539231344,-6.938893903907228e-18,0.0027129725833341944,0.0027455686521524404,False,191.3196201324463,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm5_wd0p001
tune_fedogda_s_abs_seed1_alpha0p5_cm5_wd0p01,fedogda_s,abs,0.5,1,5.0,0.01,0.017574532675464903,0.017671829539231344,499,0.017574532675464896,0.017671829539231344,-6.938893903907228e-18,0.0027129725833341944,0.0027455686521524404,False,199.10534238815308,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm5_wd0p01
tune_fedogda_s_abs_seed1_alpha0p5_cm5_wd0p03,fedogda_s,abs,0.5,1,5.0,0.03,0.017574532675464903,0.017671829539231344,499,0.017574532675464896,0.017671829539231344,-6.938893903907228e-18,0.0027129725833341944,0.0027455686521524404,False,199.9577989578247,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm5_wd0p03
tune_fedogda_s_abs_seed1_alpha0p5_cm5_wd0p1,fedogda_s,abs,0.5,1,5.0,0.1,0.017574532675464903,0.017671829539231344,499,0.017574532675464896,0.017671829539231344,-6.938893903907228e-18,0.0027129725833341944,0.0027455686521524404,False,201.37633204460144,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm5_wd0p1
