run_id,dataset,method,seed,alpha,learning_rate,weight_decay,critic_multiplier,best_validation_mse,best_validation_round,final_validation_mse,last_50_val_mse_std,final_vs_best_validation_gap,diverged,result_dir,test_mse_at_best_validation
tune_cifar10_x_fedgda_s_seed0_lr0p003_wd0p05,cifar10_x,fedgda_s,0,0.5,0.003,0.05,10.0,0.15460611936177926,33,0.3523726349462868,0.042892933608347165,0.19776651558450753,False,results/rerun_protocol_v1_real_images_abs_alpha0p5_tuning/cifar10_x/fedgda_s/seed_0/tune_cifar10_x_fedgda_s_seed0_lr0p003_wd0p05,0.15197626588264704
tune_cifar10_x_fedogda_s_seed0_lr0p01_wd0p05,cifar10_x,fedogda_s,0,0.5,0.01,0.05,10.0,0.1511303177477736,20,1.6184012364685367,0.6257065525392745,1.467270918720763,False,results/rerun_protocol_v1_real_images_abs_alpha0p5_tuning/cifar10_x/fedogda_s/seed_0/tune_cifar10_x_fedogda_s_seed0_lr0p01_wd0p05,0.15062454025566932
tune_cifar10_xz_fedgda_s_seed0_lr0p01_wd0p05,cifar10_xz,fedgda_s,0,0.5,0.01,0.05,10.0,0.2008581790714461,17,0.3180922504638681,0.0858523806124962,0.11723407139242198,False,results/rerun_protocol_v1_real_images_abs_alpha0p5_tuning/cifar10_xz/fedgda_s/seed_0/tune_cifar10_xz_fedgda_s_seed0_lr0p01_wd0p05,0.20466307598736908
tune_cifar10_xz_fedogda_s_seed0_lr0p01_wd0p05,cifar10_xz,fedogda_s,0,0.5,0.01,0.05,10.0,0.17284520836003264,19,0.3655360215829218,0.5829109207792379,0.19269081322288917,False,results/rerun_protocol_v1_real_images_abs_alpha0p5_tuning/cifar10_xz/fedogda_s/seed_0/tune_cifar10_xz_fedogda_s_seed0_lr0p01_wd0p05,0.17590978105426322
tune_cifar10_z_fedgda_s_seed0_lr0p01_wd0p05,cifar10_z,fedgda_s,0,0.5,0.01,0.05,10.0,0.21064642500689237,147,0.24780889430275652,0.04943530414904953,0.03716246929586414,False,results/rerun_protocol_v1_real_images_abs_alpha0p5_tuning/cifar10_z/fedgda_s/seed_0/tune_cifar10_z_fedgda_s_seed0_lr0p01_wd0p05,0.21405381369439802
tune_cifar10_z_fedogda_s_seed0_lr0p01_wd0p05,cifar10_z,fedogda_s,0,0.5,0.01,0.05,10.0,0.23497329818479643,14,0.2502241598000664,0.07878739878339963,0.015250861615269978,False,results/rerun_protocol_v1_real_images_abs_alpha0p5_tuning/cifar10_z/fedogda_s/seed_0/tune_cifar10_z_fedogda_s_seed0_lr0p01_wd0p05,0.23555954141422072
tune_femnist_x_fedgda_s_seed0_lr0p01_wd0p05,femnist_x,fedgda_s,0,0.5,0.01,0.05,10.0,0.14037607036203378,14,1.468195969807468,0.5705426544031647,1.3278198994454342,False,results/rerun_protocol_v1_real_images_abs_alpha0p5_tuning/femnist_x/fedgda_s/seed_0/tune_femnist_x_fedgda_s_seed0_lr0p01_wd0p05,0.14017913026044265
tune_femnist_x_fedogda_s_seed0_lr0p01_wd0p05,femnist_x,fedogda_s,0,0.5,0.01,0.05,10.0,0.13607962133177934,23,1.7656590955577052,2.352440081673469,1.6295794742259258,False,results/rerun_protocol_v1_real_images_abs_alpha0p5_tuning/femnist_x/fedogda_s/seed_0/tune_femnist_x_fedogda_s_seed0_lr0p01_wd0p05,0.13709393525244573
tune_femnist_xz_fedgda_s_seed0_lr0p01_wd0p05,femnist_xz,fedgda_s,0,0.5,0.01,0.05,10.0,0.13547234324810367,76,0.3488704146899513,0.5295547116064804,0.2133980714418476,False,results/rerun_protocol_v1_real_images_abs_alpha0p5_tuning/femnist_xz/fedgda_s/seed_0/tune_femnist_xz_fedgda_s_seed0_lr0p01_wd0p05,0.1401272778641526
tune_femnist_xz_fedogda_s_seed0_lr0p003_wd0p05,femnist_xz,fedogda_s,0,0.5,0.003,0.05,10.0,0.13873048837777366,76,1.3444627731837386,0.24534308497574953,1.205732284805965,False,results/rerun_protocol_v1_real_images_abs_alpha0p5_tuning/femnist_xz/fedogda_s/seed_0/tune_femnist_xz_fedogda_s_seed0_lr0p003_wd0p05,0.14233733607545443
tune_femnist_z_fedgda_s_seed0_lr0p01_wd0p05,femnist_z,fedgda_s,0,0.5,0.01,0.05,10.0,0.16370195968653575,147,0.1693455182136667,0.022773377118147604,0.005643558527130943,False,results/rerun_protocol_v1_real_images_abs_alpha0p5_tuning/femnist_z/fedgda_s/seed_0/tune_femnist_z_fedgda_s_seed0_lr0p01_wd0p05,0.1632724416942902
tune_femnist_z_fedogda_s_seed0_lr0p01_wd0p05,femnist_z,fedogda_s,0,0.5,0.01,0.05,10.0,0.17550897550071862,146,0.17550902596675333,0.07175147819289643,5.0466034712259855e-08,False,results/rerun_protocol_v1_real_images_abs_alpha0p5_tuning/femnist_z/fedogda_s/seed_0/tune_femnist_z_fedogda_s_seed0_lr0p01_wd0p05,0.1761424489576811
