run_id,source,dataset,method,lr,cm,status,exclusion_category,exclusion_reason,gmm_eval,val_mse,actually_ran_as,run_dir
det_screen_cifar10_x_fedogda_d_seed0_alpha0p5_lr0p003_cm10,original_screen,cifar10_x,fedogda_d,0.003,10.0,eligible,,,-0.0012407690426470227,0.15582877206136656,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_x/fedogda_d/seed_0/det_screen_cifar10_x_fedogda_d_seed0_alpha0p5_lr0p003_cm10
det_screen_cifar10_x_fedogda_d_seed0_alpha0p5_lr0p01_cm5,original_screen,cifar10_x,fedogda_d,0.01,5.0,eligible,,,2.028312153640557e-06,0.16691291472394218,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_x/fedogda_d/seed_0/det_screen_cifar10_x_fedogda_d_seed0_alpha0p5_lr0p01_cm5
det_screen_cifar10_x_fedogda_d_seed0_alpha0p5_lr0p01_cm10,original_screen,cifar10_x,fedogda_d,0.01,10.0,eligible,,,-0.00012716408735894801,0.14435996505851953,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_x/fedogda_d/seed_0/det_screen_cifar10_x_fedogda_d_seed0_alpha0p5_lr0p01_cm10
det_screen_cifar10_xz_fedgda_d_seed0_alpha0p5_lr0p003_cm1,original_screen,cifar10_xz,fedgda_d,0.003,1.0,eligible,,,0.006666070694002965,0.14991832395754062,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_xz/fedgda_d/seed_0/det_screen_cifar10_xz_fedgda_d_seed0_alpha0p5_lr0p003_cm1
det_screen_cifar10_xz_fedgda_d_seed0_alpha0p5_lr0p003_cm5,original_screen,cifar10_xz,fedgda_d,0.003,5.0,eligible,,,0.007188850545201992,0.14512229898591858,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_xz/fedgda_d/seed_0/det_screen_cifar10_xz_fedgda_d_seed0_alpha0p5_lr0p003_cm5
det_screen_cifar10_xz_fedgda_d_seed0_alpha0p5_lr0p01_cm1,original_screen,cifar10_xz,fedgda_d,0.01,1.0,eligible,,,0.0012515577604942502,0.1386587678160986,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_xz/fedgda_d/seed_0/det_screen_cifar10_xz_fedgda_d_seed0_alpha0p5_lr0p01_cm1
det_screen_cifar10_xz_fedgda_d_seed0_alpha0p5_lr0p01_cm5,original_screen,cifar10_xz,fedgda_d,0.01,5.0,eligible,,,-8.480650068844761e-05,0.1372730967076885,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_xz/fedgda_d/seed_0/det_screen_cifar10_xz_fedgda_d_seed0_alpha0p5_lr0p01_cm5
det_screen_cifar10_xz_fedgda_d_seed0_alpha0p5_lr0p03_cm1,original_screen,cifar10_xz,fedgda_d,0.03,1.0,eligible,,,-0.0010541124745877207,0.14407550420460427,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_xz/fedgda_d/seed_0/det_screen_cifar10_xz_fedgda_d_seed0_alpha0p5_lr0p03_cm1
det_screen_cifar10_xz_fedgda_d_seed0_alpha0p5_lr0p03_cm5,original_screen,cifar10_xz,fedgda_d,0.03,5.0,eligible,,,-0.0007717159850414052,0.14735773195104615,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_xz/fedgda_d/seed_0/det_screen_cifar10_xz_fedgda_d_seed0_alpha0p5_lr0p03_cm5
det_screen_cifar10_xz_fedogda_d_seed0_alpha0p5_lr0p001_cm1,original_screen,cifar10_xz,fedogda_d,0.001,1.0,eligible,,,-0.00064104304536294,0.15956316286276534,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_xz/fedogda_d/seed_0/det_screen_cifar10_xz_fedogda_d_seed0_alpha0p5_lr0p001_cm1
