dataset,function,alpha,seed,source,fedgda_test_mse_at_best_validation,fedogda_test_mse_at_best_validation,gap,relative_gap_pct,winner,config_match_status,fedgda_result_dir,fedogda_result_dir
linear,Linear,1.0,0,baseline_sweep,0.0004227994945007816,0.00044219568327667194,1.9396188775890348e-05,4.58756195978718,FedGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha1p0,results/rerun_protocol_v1/linear/fedogda_d/seed_0/rerun_protocol_v1_linear_fedogda_d_seed0_alpha1p0
linear,Linear,1.0,1,baseline_sweep,0.0012460202309047964,0.000768839938839923,-0.0004771802920648734,-38.29635187531179,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha1p0,results/rerun_protocol_v1/linear/fedogda_d/seed_1/rerun_protocol_v1_linear_fedogda_d_seed1_alpha1p0
linear,Linear,1.0,2,baseline_sweep,0.010804873823933555,0.007237106288113536,-0.003567767535820019,-33.01998333305071,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha1p0,results/rerun_protocol_v1/linear/fedogda_d/seed_2/rerun_protocol_v1_linear_fedogda_d_seed2_alpha1p0
sin,Sine,0.1,0,baseline_sweep,0.09000987619326388,0.08992452977277386,-8.534642049001784e-05,-0.09481895109684081,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/sin/fedgda_d/seed_0/rerun_protocol_v1_sin_fedgda_d_seed0_alpha0p1,results/rerun_protocol_v1/sin/fedogda_d/seed_0/rerun_protocol_v1_sin_fedogda_d_seed0_alpha0p1
sin,Sine,0.1,1,baseline_sweep,0.08109314924971982,0.08121494249418329,0.00012179324446347228,0.15018931388201462,FedGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/sin/fedgda_d/seed_1/rerun_protocol_v1_sin_fedgda_d_seed1_alpha0p1,results/rerun_protocol_v1/sin/fedogda_d/seed_1/rerun_protocol_v1_sin_fedogda_d_seed1_alpha0p1
sin,Sine,0.1,2,baseline_sweep,0.087358804884214,0.0874952918880233,0.0001364870038092908,0.15623726078921485,FedGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/sin/fedgda_d/seed_2/rerun_protocol_v1_sin_fedgda_d_seed2_alpha0p1,results/rerun_protocol_v1/sin/fedogda_d/seed_2/rerun_protocol_v1_sin_fedogda_d_seed2_alpha0p1
sin,Sine,0.5,0,baseline_sweep,0.0901691072308283,0.09017894773973445,9.840508906150403e-06,0.010913392855226129,FedGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/sin/fedgda_d/seed_0/rerun_protocol_v1_sin_fedgda_d_seed0_alpha0p5,results/rerun_protocol_v1/sin/fedogda_d/seed_0/rerun_protocol_v1_sin_fedogda_d_seed0_alpha0p5
sin,Sine,0.5,1,baseline_sweep,0.0810968603571106,0.0811763438678972,7.948351078659877e-05,0.09801058935770456,FedGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/sin/fedgda_d/seed_1/rerun_protocol_v1_sin_fedgda_d_seed1_alpha0p5,results/rerun_protocol_v1/sin/fedogda_d/seed_1/rerun_protocol_v1_sin_fedogda_d_seed1_alpha0p5
sin,Sine,0.5,2,baseline_sweep,0.087322463559006,0.0874631918214393,0.00014072826243330394,0.16115929017303812,FedGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/sin/fedgda_d/seed_2/rerun_protocol_v1_sin_fedgda_d_seed2_alpha0p5,results/rerun_protocol_v1/sin/fedogda_d/seed_2/rerun_protocol_v1_sin_fedogda_d_seed2_alpha0p5
sin,Sine,1.0,0,baseline_sweep,0.09006007294607915,0.08999488680650702,-6.518613957212649e-05,-0.07238073148259029,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/sin/fedgda_d/seed_0/rerun_protocol_v1_sin_fedgda_d_seed0_alpha1p0,results/rerun_protocol_v1/sin/fedogda_d/seed_0/rerun_protocol_v1_sin_fedogda_d_seed0_alpha1p0
