run_id,method,dataset,seed,alpha,critic_multiplier,weight_decay,best_validation_mse,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,final_vs_best_validation_gap,last_50_val_mse_std,last_50_train_mse_std,diverged,runtime_seconds,result_dir
rerun_protocol_v1_abs_fedogda_s_seed1_alpha1p0,fedogda_s,abs,1,1.0,10.0,0.1,0.006638181792948494,0.00678978273812457,450,0.011427279883128812,0.011951736101014205,0.0047890980901803175,0.0016582869809709652,0.0016914317509792124,False,193.97551321983337,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha1p0
rerun_protocol_v1_abs_fedgda_s_seed2_alpha1p0,fedgda_s,abs,2,1.0,10.0,0.03,0.0010598985846768448,0.0010968679157301287,255,0.005074400152564319,0.005282472171527157,0.004014501567887475,0.0016409512740714323,0.001656334180636754,False,182.44747972488403,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha1p0
rerun_protocol_v1_abs_fedogda_s_seed2_alpha1p0,fedogda_s,abs,2,1.0,10.0,0.1,0.033496169643517024,0.03441503768257774,499,0.033496169643517024,0.03441503768257774,0.0,0.0038380585420755083,0.00391169874126233,False,197.04139280319214,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha1p0
rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p1,fedgda_s,linear,0,0.1,10.0,0.03,6.481662991840837e-05,6.552064568177548e-05,481,0.0008809232219349908,0.0008994462719826203,0.0008161065920165825,0.0034499792137857193,0.003462677438307962,False,183.01562452316284,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p1
rerun_protocol_v1_linear_fedogda_s_seed0_alpha0p1,fedogda_s,linear,0,0.1,10.0,0.1,0.0012675884443516378,0.001262243924902869,423,0.001970062764856735,0.0019264149138423395,0.0007024743205050973,0.0005307920632256382,0.0005304011045398005,False,196.66234374046326,results/rerun_protocol_v1/linear/fedogda_s/seed_0/rerun_protocol_v1_linear_fedogda_s_seed0_alpha0p1
rerun_protocol_v1_linear_fedgda_s_seed1_alpha0p1,fedgda_s,linear,1,0.1,10.0,0.03,0.0007671882196400474,0.0007707277504424529,299,0.023648481515270048,0.024390739309934524,0.02288129329563,0.010168450200484798,0.01022233482168136,False,178.7294783592224,results/rerun_protocol_v1/linear/fedgda_s/seed_1/rerun_protocol_v1_linear_fedgda_s_seed1_alpha0p1
rerun_protocol_v1_linear_fedogda_s_seed1_alpha0p1,fedogda_s,linear,1,0.1,10.0,0.1,0.0008709648846947978,0.0008752994345104018,325,0.001253278256750317,0.0012667877245754625,0.0003823133720555192,0.0011174506013193735,0.0011151856205743533,False,190.6394989490509,results/rerun_protocol_v1/linear/fedogda_s/seed_1/rerun_protocol_v1_linear_fedogda_s_seed1_alpha0p1
rerun_protocol_v1_linear_fedgda_s_seed2_alpha0p1,fedgda_s,linear,2,0.1,10.0,0.03,0.0003148451342411281,0.00031834185054889806,295,0.0046857533061223245,0.004911374762764521,0.0043709081718811965,0.0008192149604703528,0.0008201006090282278,False,183.94777512550354,results/rerun_protocol_v1/linear/fedgda_s/seed_2/rerun_protocol_v1_linear_fedgda_s_seed2_alpha0p1
rerun_protocol_v1_linear_fedogda_s_seed2_alpha0p1,fedogda_s,linear,2,0.1,10.0,0.1,0.006097382847877126,0.006236724091884938,499,0.006097382847877131,0.006236724091884938,4.336808689942018e-18,0.0019690328986363323,0.001974681268181347,False,195.40023970603943,results/rerun_protocol_v1/linear/fedogda_s/seed_2/rerun_protocol_v1_linear_fedogda_s_seed2_alpha0p1
rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p5,fedgda_s,linear,0,0.5,10.0,0.03,0.0001655646355710424,0.00016656732111549775,425,0.002360460427699417,0.0023926975756404342,0.0021948957921283747,0.0008023651380642058,0.0008070719151925355,False,182.94684028625488,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p5
