dataset,alpha,seed,fedgda_s_test_mse_at_best_validation,fedogda_s_test_mse_at_best_validation,delta_test_fedogda_minus_fedgda,fedogda_s_lower_test_mse,fedgda_s_best_validation_mse,fedogda_s_best_validation_mse,delta_validation_fedogda_minus_fedgda,fedgda_s_last_50_val_mse_std,fedogda_s_last_50_val_mse_std,delta_last_50_val_mse_std_fedogda_minus_fedgda,fedogda_s_lower_last_50_val_mse_std
abs,0.1,0,0.0007014676955070171,0.004224131604563522,0.003522663909056505,False,0.000677726099664873,0.004170564981794433,0.00349283888212956,0.003567232073529178,0.0020741636134441526,-0.0014930684600850254,True
abs,0.1,1,0.006399854504840437,0.006492114916789562,9.226041194912524e-05,False,0.006225680175951548,0.0063707108276686766,0.00014503065171712817,0.005242670299740274,0.0013319346361862208,-0.003910735663554053,True
abs,0.1,2,0.001397470631696574,0.025336297087413546,0.02393882645571697,False,0.0013642446348014969,0.024807159314620488,0.02344291467981899,0.0028053443962608917,0.004506107443418464,0.0017007630471575722,False
abs,0.5,0,0.0005328621876962478,0.006701712291848975,0.006168850104152727,False,0.0005237341518740604,0.006532075687872711,0.00600834153599865,0.0008647473266332204,0.003040367171673552,0.0021756198450403317,False
abs,0.5,1,0.006562232470117874,0.006969377204524669,0.00040714473440679484,False,0.006419084240050454,0.006828394533845636,0.00040931029379518216,0.0030475811386278234,0.0004995252190258801,-0.0025480559196019432,True
abs,0.5,2,0.0010346327801986487,0.03241663467431333,0.03138200189411468,False,0.001005735169824526,0.03178155207732554,0.030775816907501013,0.0012854831625349634,0.004453335912816272,0.003167852750281309,False
abs,1.0,0,0.0006057864695677811,0.007101696785203967,0.006495910315636186,False,0.0005863352658592794,0.007003598829362718,0.006417263563503439,0.0019255157303026138,0.0017805047442856193,-0.0001450109860169945,True
abs,1.0,1,0.006905123990474533,0.00678978273812457,-0.00011534125234996268,True,0.0067637938333682986,0.006638181792948494,-0.00012561204041980443,0.0047468257171103916,0.0016582869809709652,-0.0030885387361394264,True
abs,1.0,2,0.0010968679157301287,0.03441503768257774,0.03331816976684761,False,0.0010598985846768448,0.033496169643517024,0.03243627105884018,0.0016409512740714323,0.0038380585420755083,0.0021971072680040758,False
linear,0.1,0,6.552064568177548e-05,0.001262243924902869,0.0011967232792210935,False,6.481662991840837e-05,0.0012675884443516378,0.0012027718144332295,0.0034499792137857193,0.0005307920632256382,-0.002919187150560081,True
linear,0.1,1,0.0007707277504424529,0.0008752994345104018,0.0001045716840679489,False,0.0007671882196400474,0.0008709648846947978,0.0001037766650547504,0.010168450200484798,0.0011174506013193735,-0.009050999599165424,True
linear,0.1,2,0.00031834185054889806,0.006236724091884938,0.0059183822413360395,False,0.0003148451342411281,0.006097382847877126,0.005782537713635998,0.0008192149604703528,0.0019690328986363323,0.0011498179381659794,False
linear,0.5,0,0.00016656732111549775,0.0007847149540269521,0.0006181476329114544,False,0.0001655646355710424,0.0007822137267112849,0.0006166490911402425,0.0008023651380642058,0.0003385257702228108,-0.00046383936784139495,True
linear,0.5,1,0.0005069194132579995,0.0007672509647585216,0.00026033155150052205,False,0.0005037077502202182,0.0007639782529321825,0.00026027050271196423,0.010255438018331262,0.0007516348031774493,-0.009503803215153813,True
linear,0.5,2,0.00039595862624269005,0.007251052753362265,0.006855094127119575,False,0.0003896788935959265,0.007075657910292095,0.006685979016696169,0.0009609680754200321,0.0022804150137900785,0.0013194469383700463,False
linear,1.0,0,8.424079270976279e-05,0.00038712078798622235,0.0003028799952764596,False,8.541445515506145e-05,0.0003851227021513554,0.00029970824699629395,0.002354055041988748,0.0004528328799980887,-0.001901222161990659,True
linear,1.0,1,0.0006129201898141918,0.0007490467925889216,0.00013612660277472985,False,0.000586642290232431,0.0007430554121704244,0.00015641312193799333,0.011056096693617299,0.0006699605493616786,-0.01038613614425562,True
linear,1.0,2,0.0005595686814700478,0.006598469925796079,0.006038901244326031,False,0.0005648602861198424,0.006515009258923614,0.005950148972803771,0.0015858144495627718,0.0015552350902815603,-3.057935928121153e-05,True
sin,0.1,0,0.0837320533183688,0.09010945455345735,0.006377401235088551,False,0.08189453964122478,0.08732176614876729,0.005427226507542501,0.0019336355105426851,0.0014242492320834645,-0.0005093862784592207,True
sin,0.1,1,0.07252873976572619,0.08011050574834426,0.0075817659826180744,False,0.07080392683672448,0.07867262636737331,0.007868699530648823,0.0039638847670690905,0.0009072239881239407,-0.00305666077894515,True
sin,0.1,2,0.08011009984218251,0.08660816378567072,0.0064980639434882165,False,0.07828553848043666,0.08382666722090722,0.005541128740470552,0.0034568363233218958,0.0009305403745012499,-0.0025262959488206458,True
sin,0.5,0,0.08084465012555463,0.09058282447044726,0.00973817434489263,False,0.0792361134606482,0.08778774919932615,0.008551635738677954,0.0013432783185414047,0.0002839971946239374,-0.0010592811239174672,True
sin,0.5,1,0.07087975474326494,0.08056486794652362,0.009685113203258683,False,0.06962375389340376,0.0787147350235261,0.009090981130122341,0.005256370521816938,0.00019292901133332723,-0.005063441510483611,True
sin,0.5,2,0.08237799902299964,0.08727304203073737,0.004895043007737729,False,0.08005340943999527,0.08430162928833569,0.004248219848340423,0.0006944345759277761,0.0006178319580303596,-7.660261789741655e-05,True
sin,1.0,0,0.07978549290839898,0.09043478549269746,0.010649292584298475,False,0.07785834910472307,0.08766009975474562,0.009801750650022548,0.0006915059866235945,6.053511241804236e-05,-0.0006309708742055521,True
sin,1.0,1,0.0756283265223583,0.08047187678032089,0.004843550257962584,False,0.0737639576598922,0.07891249461221363,0.005148536952321425,0.005371661018056886,0.00024211538522992036,-0.005129545632826965,True
sin,1.0,2,0.08051380406543718,0.08647868933938554,0.005964885273948367,False,0.07876101103322113,0.08361395502265909,0.004852943989437961,0.0007233968624194713,6.848795690392524e-05,-0.0006549089055155461,True
step,0.1,0,0.028218572987749786,0.030507676798837383,0.002289103811087597,False,0.027814618496127007,0.029913518146718273,0.002098899650591266,0.0019087304555718112,0.0010319092327075305,-0.0008768212228642807,True
step,0.1,1,0.025218379926375142,0.02515483355049589,-6.354637587925246e-05,True,0.02486079364546243,0.024838549409417442,-2.2244236044986765e-05,0.003453140034961627,0.000622715265666291,-0.002830424769295336,True
step,0.1,2,0.028442072541331992,0.03188241102342823,0.003440338482096239,False,0.02808520238906342,0.031241650694060957,0.003156448304997537,0.002329708209359075,0.0010956353301721739,-0.0012340728791869011,True
