g0,method,n_seeds_complete,n_seeds_expected,n_diverged,primary_mean,primary_std,primary_median
interaction,fedgda_s,5,5,0,0.42181824404745344,0.0736029838783302,0.379090857939426
interaction,fedogda_s,5,5,0,0.606894569832934,0.10507691627709362,0.5975781838323281
linear,fedgda_s,5,5,0,0.2695455125268728,0.05703427706702376,0.2905002146314596
linear,fedogda_s,5,5,0,0.3606837512229329,0.04421004100670977,0.35733465470926074
mlp,fedgda_s,5,5,0,0.22565606188909207,0.05452486473816312,0.2202532894128155
mlp,fedogda_s,5,5,0,0.28646939883925265,0.06605477748237776,0.2781009646927399
