artifact_id,source_family,dataset,method,method_label,alpha,seed,prediction_key_used,curve_mse,curve_mae,curve_max_abs_error,best_vs_final_max_abs_diff,best_validation_mse,best_validation_round,test_mse_at_best_validation,final_test_mse,selection_metric_source,test_mse_used_for_selection,included,prediction_path,result_dir
a0012,base_sweep,abs,fedgda_d,FedGDA-D,0.5,0,best_validation_prediction,0.010333927256165373,0.0821485602407359,0.4009614536142878,0.0,0.010107855202000735,499,0.010333927256165375,0.010333927256165375,,,True,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p5
a0013,base_sweep,abs,fedgda_s,FedGDA-S,0.5,0,best_validation_prediction,0.000532862187696248,0.015996719173754212,0.10041181660522791,0.0850795340363073,0.0005237341518740604,222,0.0005328621876962478,0.001118432342798487,,,True,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p5
a0014,base_sweep,abs,fedogda_d,FedOGDA-D,0.5,0,best_validation_prediction,0.009118816325809744,0.07673374574969201,0.3816267525685386,0.0,0.008921359420980341,499,0.009118816325809744,0.009118816325809744,,,True,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p5
a0015,base_sweep,abs,fedogda_s,FedOGDA-S,0.5,0,best_validation_prediction,0.006701712291848955,0.06538863743626375,0.30474567646073925,0.0,0.006532075687872711,499,0.006701712291848975,0.006701712291848975,,,True,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p5
a0016,base_sweep,abs,fedgda_d,FedGDA-D,0.5,1,best_validation_prediction,0.006796743518078249,0.06969771856184769,0.32013736740421006,0.18883182843564184,0.00661780596877693,459,0.0067967435180782115,0.00858508674382863,,,True,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p5
a0017,base_sweep,abs,fedgda_s,FedGDA-S,0.5,1,best_validation_prediction,0.0065622324701178885,0.06868140916479795,0.27186714336469997,0.15502442223584345,0.006419084240050454,150,0.006562232470117874,0.008641235246094971,,,True,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p5
a0018,base_sweep,abs,fedogda_d,FedOGDA-D,0.5,1,best_validation_prediction,0.0068767171765257516,0.07011964361141541,0.32259735590699634,0.20904243951063073,0.006696059556379062,454,0.00687671717652571,0.009072021715167732,,,True,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p5
a0019,base_sweep,abs,fedogda_s,FedOGDA-S,0.5,1,best_validation_prediction,0.006969377204524621,0.07041331468685438,0.2773975925449905,0.23496036440690382,0.006828394533845636,439,0.006969377204524669,0.008988455276731188,,,True,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p5
a0020,base_sweep,abs,fedgda_d,FedGDA-D,0.5,2,best_validation_prediction,0.03612385692391453,0.15694418054734893,0.7761777218888104,0.0,0.035202733981553054,499,0.03612385692391461,0.03612385692391461,,,True,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p5
a0021,base_sweep,abs,fedgda_s,FedGDA-S,0.5,2,best_validation_prediction,0.0010346327801986411,0.024757783151520538,0.12248147348792193,0.158941201542099,0.001005735169824526,270,0.0010346327801986487,0.005477743217867364,,,True,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p5
