source_family,dataset,function,alpha,seed,fedgda_curve_mse,fedogda_curve_mse,curve_mse_gap_fedogda_minus_fedgda,fedgda_curve_mae,fedogda_curve_mae,curve_mae_gap_fedogda_minus_fedgda,fedgda_curve_max_abs_error,fedogda_curve_max_abs_error,curve_max_abs_gap_fedogda_minus_fedgda,fedgda_test_mse_at_best_validation,fedogda_test_mse_at_best_validation,test_mse_gap_fedogda_minus_fedgda,winner_by_curve_mse,winner_by_test_mse
base_sweep,abs,Absolute,0.1,0,0.011610337454556406,0.010798260512891296,-0.0008120769416651106,0.08749180015869462,0.084174959736159,-0.003316840422535619,0.41606346424202845,0.4047808760837215,-0.011282588158306961,0.011610337454556403,0.010798260512891303,-0.0008120769416651002,FedOGDA-D,FedOGDA-D
base_sweep,abs,Absolute,0.1,1,0.006737937555359601,0.006787216707284171,4.927915192457031e-05,0.06937573705893879,0.06964393952396053,0.0002682024650217385,0.3175162938145841,0.317436871620413,-7.942219417111929e-05,0.006737937555359588,0.006787216707284158,4.927915192457031e-05,FedGDA-D,FedGDA-D
base_sweep,abs,Absolute,0.1,2,0.03729636915667336,0.03530139541279282,-0.0019949737438805376,0.15957893082885494,0.15518173195817098,-0.00439719887068396,0.7920724673756521,0.7655850069631303,-0.026487460412521813,0.03729636915667341,0.0353013954127931,-0.0019949737438803156,FedOGDA-D,FedOGDA-D
base_sweep,abs,Absolute,0.5,0,0.010333927256165373,0.009118816325809744,-0.0012151109303556295,0.0821485602407359,0.07673374574969201,-0.00541481449104389,0.4009614536142878,0.3816267525685386,-0.019334701045749192,0.010333927256165375,0.009118816325809744,-0.0012151109303556312,FedOGDA-D,FedOGDA-D
base_sweep,abs,Absolute,0.5,1,0.006796743518078249,0.0068767171765257516,7.99736584475028e-05,0.06969771856184769,0.07011964361141541,0.00042192504956772847,0.32013736740421006,0.32259735590699634,0.002459988502786281,0.0067967435180782115,0.00687671717652571,7.997365844749846e-05,FedGDA-D,FedGDA-D
base_sweep,abs,Absolute,0.5,2,0.03612385692391453,0.03377255557952787,-0.002351301344386658,0.15694418054734893,0.1516587497072447,-0.005285430840104244,0.7761777218888104,0.7445242934615506,-0.03165342842725982,0.03612385692391461,0.03377255557952796,-0.0023513013443866443,FedOGDA-D,FedOGDA-D
base_sweep,abs,Absolute,1.0,0,0.009687765602160949,0.008426857583396534,-0.0012609080187644152,0.0793381885222823,0.07352132942288073,-0.005816859099401578,0.39523736211860205,0.3745725780208957,-0.020664784097706335,0.00968776560216092,0.008426857583396532,-0.0012609080187643874,FedOGDA-D,FedOGDA-D
base_sweep,abs,Absolute,1.0,1,0.006998573717887232,0.007064816588672348,6.624287078511523e-05,0.07053780273574208,0.07092254205167381,0.00038473931593173416,0.3288946887887638,0.3291264321998062,0.00023174341104237328,0.0069985737178872316,0.007064816588672376,6.624287078514472e-05,FedGDA-D,FedGDA-D
base_sweep,abs,Absolute,1.0,2,0.03648782059317671,0.033879868014654854,-0.002607952578521859,0.1577191563353857,0.15190256722099663,-0.005816589114389065,0.7783179763787267,0.7415992247190664,-0.03671875165966032,0.03648782059317654,0.03387986801465489,-0.002607952578521651,FedOGDA-D,FedOGDA-D
base_sweep,step,Step,0.1,0,0.030866804096569007,0.029737169081041185,-0.0011296350155278224,0.14781859554375604,0.14530813158921568,-0.002510463954540354,0.6318522796135362,0.6095545090654413,-0.022297770548094897,0.03086680409656931,0.029737169081041237,-0.0011296350155280722,FedOGDA-D,FedOGDA-D
