source_family,dataset,function,alpha,status,pairs,fedogda_curve_mse_wins,fedogda_test_mse_wins,mean_fedgda_curve_mse,mean_fedogda_curve_mse,mean_curve_mse_gap_fedogda_minus_fedgda,mean_fedgda_curve_mae,mean_fedogda_curve_mae,mean_curve_mae_gap_fedogda_minus_fedgda,mean_fedgda_curve_max_abs,mean_fedogda_curve_max_abs,mean_curve_max_abs_gap_fedogda_minus_fedgda,mean_fedgda_test_mse,mean_fedogda_test_mse,mean_test_mse_gap_fedogda_minus_fedgda,note
base_sweep,abs,Absolute,1.0,ok,3,2,2,0.017724719971074932,0.016457180728907866,-0.0012675392421670282,0.10253171586447,0.09878214623185037,-0.0037495696326196,0.5008166757620308,0.4817660783132561,-0.019050597448774766,0.017724719971074866,0.016457180728907866,-0.0012675392421669185,selected original-sweep alpha=1.0
base_sweep,step,Step,0.1,ok,3,3,3,0.029787982300158666,0.029188219986105064,-0.0005997623140535487,0.14280521803823018,0.14137041121490568,-0.001434806823324459,0.6293480870435058,0.6125362854573234,-0.016811801586182232,0.029787982300158864,0.02918821998610513,-0.0005997623140536811,selected original-sweep alpha=0.1
base_sweep,linear,Linear,0.1,ok,3,2,2,0.0042873276709887,0.0029284127043506664,-0.0013589149666379946,0.044266101137354436,0.03715403250029477,-0.007112068637059633,0.2776556796586302,0.19781703839310763,-0.07983864126552247,0.004287327670988667,0.0029284127043506664,-0.0013589149666379935,selected original-sweep alpha=0.1
tuned_sine_a2_lite,sin,Sine,1.0,ok,3,3,3,0.08610686290668552,0.08001153457404353,-0.006095328332641933,0.24510586297404188,0.22940692373345528,-0.015698939240586567,0.9475485708998508,0.9172711530950292,-0.03027741780482156,0.08610686290668557,0.08001153457404317,-0.0060953283326423,validation-locked tuned Sine A2-lite
