artifact_id,source_family,dataset,method,method_label,alpha,seed,prediction_path,result_dir,prediction_key_used,final_prediction_key_used,pred_finite,x_shape,true_g_shape,pred_shape,included,skip_reason,notes
a0014,base_sweep,abs,fedogda_d,FedOGDA-D,0.5,0,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0015,base_sweep,abs,fedogda_s,FedOGDA-S,0.5,0,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0016,base_sweep,abs,fedgda_d,FedGDA-D,0.5,1,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0017,base_sweep,abs,fedgda_s,FedGDA-S,0.5,1,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0018,base_sweep,abs,fedogda_d,FedOGDA-D,0.5,1,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0019,base_sweep,abs,fedogda_s,FedOGDA-S,0.5,1,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0020,base_sweep,abs,fedgda_d,FedGDA-D,0.5,2,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0021,base_sweep,abs,fedgda_s,FedGDA-S,0.5,2,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0022,base_sweep,abs,fedogda_d,FedOGDA-D,0.5,2,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0023,base_sweep,abs,fedogda_s,FedOGDA-S,0.5,2,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0024,base_sweep,abs,fedgda_d,FedGDA-D,1.0,0,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha1p0,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0025,base_sweep,abs,fedgda_s,FedGDA-S,1.0,0,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha1p0,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0026,base_sweep,abs,fedogda_d,FedOGDA-D,1.0,0,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha1p0,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0027,base_sweep,abs,fedogda_s,FedOGDA-S,1.0,0,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha1p0,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0028,base_sweep,abs,fedgda_d,FedGDA-D,1.0,1,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0029,base_sweep,abs,fedgda_s,FedGDA-S,1.0,1,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha1p0,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
