source,dataset,stage,method,run_id,seed,learning_rate,critic_multiplier,objective_lambda_1,server_learning_rate,weight_decay,epochs,comm_round,best_validation_mse,last_50_val_mse_std,final_vs_best_validation_gap,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,curve_mse,curve_mae,curve_max_abs_error,curve_corr,amp_ratio,pred_min,pred_max,diverged,runtime_seconds,result_dir
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm8_lam0p005_slr1p5,0,0.015,8.0,0.005,1.5,0.0,3,500,0.039892323995968204,0.027335860924992943,0.017312520291742226,0.04031144153297375,495,0.05720484428771043,0.058324685303752746,0.0403114415329737,0.1676303272425194,0.5163404447564403,0.8913397915787603,0.49785182319921756,-0.20727565525005187,0.25605150461900833,False,141.73525047302246,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm8_lam0p005_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p03_slr1p5,0,0.01,8.0,0.03,1.5,0.0,3,500,0.040250737838111034,0.013557101997203865,0.004129404375501779,0.041135184714727845,495,0.04438014221361281,0.04537736816527066,0.04113518471472782,0.16328872589392884,0.6129094952396399,0.8242909172240159,0.509379916297333,-0.2128546040716605,0.26120120714496864,False,201.28794693946838,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p03_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p01_slr1,0,0.01,12.0,0.01,1.0,0.0,3,500,0.04088055512871008,0.007962457159072883,-6.938893903907228e-18,0.04179784567033934,499,0.040880555128710076,0.04179784567033934,0.041797845670339485,0.16455231162815456,0.6120213561708304,0.8194792778068782,0.4957624775084244,-0.2195229543798664,0.24185975021196066,False,208.0517773628235,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p01_slr1
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1,0,0.01,10.0,0.01,1.0,0.0,3,500,0.041558663922896366,0.006563858623314286,-1.3877787807814457e-17,0.04265840252975346,499,0.04155866392289635,0.04265840252975346,0.04265840252975343,0.164998563183553,0.6581499236095278,0.8286063062828399,0.4810836223181426,-0.20266240823033793,0.24505937966194144,False,208.42961430549622,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p01_slr1p5,0,0.0075,12.0,0.01,1.5,0.0,3,500,0.041859184924675295,0.008472811759500598,0.00016841738031379838,0.04274383140160947,495,0.042027602304989094,0.042874221297060665,0.04274383140160929,0.15999555150372036,0.7002512214907646,0.796170410231429,0.5177044613187792,-0.23593698809474178,0.24586608369673796,False,207.72933530807495,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p01_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p03_slr1p5,0,0.01,6.0,0.03,1.5,0.0,3,500,0.04319906205127871,0.011980863791796841,0.0,0.04449183341386249,499,0.04319906205127871,0.04449183341386249,0.044491833413862515,0.16917486137061086,0.7095157844268252,0.8255429130307066,0.4813108587194544,-0.193103635754086,0.25482963031610195,False,206.81573128700256,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p03_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p03_slr1,0,0.01,10.0,0.03,1.0,0.0,3,500,0.04324321449577102,0.007811774783409745,0.0,0.044503049797057534,499,0.04324321449577102,0.044503049797057534,0.04450304979705748,0.1700994367288778,0.685436215475207,0.7990824530393881,0.5404175957975992,-0.2385530227880965,0.26438808968016625,False,198.4562952518463,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p03_slr1
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p03_slr1p5,0,0.0075,12.0,0.03,1.5,0.0,3,500,0.043387372521132825,0.008079541647925069,-6.938893903907228e-18,0.04453070764031454,499,0.04338737252113282,0.04453070764031454,0.04453070764031481,0.17159575090756124,0.6779784321698268,0.8189398778516105,0.4689045621058129,-0.1960811564644869,0.24030615575631337,False,207.76206040382385,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p03_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p03_slr1,0,0.01,12.0,0.03,1.0,0.0,3,500,0.04343373393353204,0.007543656800968295,0.0,0.04454747310646454,499,0.04343373393353204,0.04454747310646454,0.044547473106464404,0.16410635116473432,0.6931165170239599,0.7794913905240777,0.546249720274283,-0.2656109845346241,0.24275781051682258,False,209.81146216392517,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p03_slr1
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p03_slr1p5,0,0.0075,8.0,0.03,1.5,0.0,3,500,0.043906745934407056,0.006859878190568267,-6.938893903907228e-18,0.04533040961139175,499,0.04390674593440705,0.04533040961139175,0.04533040961139169,0.16748688816990803,0.7324174711716203,0.7867434971652857,0.5477223842206003,-0.21720498401033134,0.29253434976748605,False,209.28584599494934,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p03_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm6_lam0p01_slr1p5,0,0.0075,6.0,0.01,1.5,0.0,3,500,0.04405025852111912,0.01238102266810029,0.0022834657133119912,0.044895104398308676,486,0.04633372423443111,0.04680272941677645,0.04489510439830854,0.17318558262951633,0.6303501125499489,0.8097176612932436,0.4548354976718251,-0.19183968122047065,0.23145421773466018,False,207.55825448036194,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm6_lam0p01_slr1p5
