dataset,method,source,run_id,seed,learning_rate,weight_decay,epochs,comm_round,best_validation_mse,last_50_val_mse_std,final_vs_best_validation_gap,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,curve_mse,curve_mae,curve_max_abs_error,curve_corr,pred_min,pred_max,diverged,runtime_seconds,result_dir
sin,fedogda_s,optimistic_curve_screen_v1,curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p002_wd0p001_cm15_slr1p5,0,0.002,0.001,3,500,0.07093265655107127,0.0021518754697615545,0.0006529824825429881,0.07298775692774966,492,0.07158563903361426,0.07316762318568898,0.07298775692774948,0.21705446577653142,0.8814657281024982,0.5726777208034044,-0.448799179365121,0.5275750757617421,False,183.45958852767944,results/curve_fitting_tuning/optimistic_curve_screen_v1/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p002_wd0p001_cm15_slr1p5
sin,fedogda_s,optimistic_curve_screen_v1,curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p001_wd0p001_cm15_slr1p5,0,0.001,0.001,3,500,0.07942356518632454,0.0013865318298806112,0.0013322929407662831,0.081304152603525,427,0.08075585812709082,0.08272676491067935,0.08130415260352522,0.2410086140803948,0.8396146229148831,0.5004589442334173,-0.42789947367146375,0.48778334878349766,False,195.93282866477966,results/curve_fitting_tuning/optimistic_curve_screen_v1/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p001_wd0p001_cm15_slr1p5
sin,fedogda_s,optimistic_curve_screen_v1,curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p001_wd0p01_cm15_slr1p5,0,0.001,0.01,3,500,0.07942356518632454,0.0013865318298806112,0.0013322929407662831,0.081304152603525,427,0.08075585812709082,0.08272676491067935,0.08130415260352522,0.2410086140803948,0.8396146229148831,0.5004589442334173,-0.42789947367146375,0.48778334878349766,False,187.32562637329102,results/curve_fitting_tuning/optimistic_curve_screen_v1/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p001_wd0p01_cm15_slr1p5
step,fedogda_s,step_geetika_repro_v1_existing_reference,curvefit_step_geetika_repro_fedogda_s_seed0_alpha0p5_T1500_R7_batch256_glr0p01_wd0p02_cm15_slr1p5,0,0.01,0.02,7,1500,0.013276624665699685,0.01669266258647501,0.024264571311636125,0.013467857625317697,1384,0.03754119597733581,0.03807495838068217,0.01346785762531772,0.08909319344469292,0.3567482063794376,0.9307796199441513,-0.6659853410861082,0.5912968578568842,False,1257.9288699626923,results/curve_fitting_tuning/step_geetika_repro_v1/step/fedogda_s/seed_0/curvefit_step_geetika_repro_fedogda_s_seed0_alpha0p5_T1500_R7_batch256_glr0p01_wd0p02_cm15_slr1p5
