dataset,stage,method,run_id,seed,learning_rate,critic_multiplier,objective_lambda_1,server_learning_rate,weight_decay,epochs,comm_round,best_validation_mse,last_50_val_mse_std,final_vs_best_validation_gap,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,curve_mse,curve_mae,curve_max_abs_error,curve_corr,pred_min,pred_max,diverged,runtime_seconds,result_dir
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm20_lam0p1_slr1,0,0.005,20.0,0.1,1.0,0.0,7,600,0.02103714756671869,0.005990559992735904,0.007164828077519721,0.021367224079169345,553,0.02820197564423841,0.02840409503645795,0.021367224079169293,0.1229075480745259,0.4471970462413862,0.8883951161628557,-0.711799792743344,0.7719069746089972,False,514.8809366226196,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm20_lam0p1_slr1
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm20_lam0p05_slr1p5,0,0.003,20.0,0.05,1.5,0.0,7,600,0.021385915362226577,0.004330563813331349,0.012536633065772112,0.02173169832803219,554,0.03392254842799869,0.033997448741278094,0.02173169832803203,0.12316748275813459,0.4555328076864763,0.885273406608536,-0.7647699423931469,0.7384294539881947,False,534.977263212204,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm20_lam0p05_slr1p5
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm20_lam0p05_slr1p5,0,0.005,20.0,0.05,1.5,0.0,7,600,0.021662274097480415,0.006569520086511897,0.008558870044102728,0.021933497037137126,530,0.030221144141583143,0.030471292319243247,0.021933497037137043,0.12392918673404085,0.3877458542379543,0.8912001074832973,-0.6035157282251221,0.7124557826055653,False,514.317099571228,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm20_lam0p05_slr1p5
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm15_lam0p05_slr2,0,0.005,15.0,0.05,2.0,0.0,7,600,0.02176492362354638,0.01321231328220657,0.029701082248156985,0.022029518468981442,565,0.051466005871703364,0.05120502970627344,0.022029518468981445,0.12256351286218425,0.4407625373626419,0.8854192845028939,-0.7499996720693125,0.6779560517922016,False,556.4370820522308,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm15_lam0p05_slr2
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm10_lam0p05_slr1p5,0,0.005,10.0,0.05,1.5,0.0,7,600,0.022087620567222237,0.007273298623244604,0.022345609707201897,0.022443144355838565,371,0.04443323027442413,0.044342024805262524,0.022443144355838534,0.12575306841263553,0.44693188046607407,0.8815353172488573,-0.7150759800252399,0.771641808833685,False,521.2434120178223,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm10_lam0p05_slr1p5
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm20_lam0p05_slr2,0,0.003,20.0,0.05,2.0,0.0,7,600,0.022095745284942667,0.006002732908084992,0.019689378003319866,0.022405625827343973,526,0.04178512328826253,0.041733005730701725,0.022405625827343966,0.12504463411705732,0.4403064147460122,0.8818101702021146,-0.7495435494526828,0.7242158455807509,False,513.8189671039581,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm20_lam0p05_slr2
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm10_lam0p1_slr1,0,0.005,10.0,0.1,1.0,0.0,7,600,0.022145974977129394,0.004576678870692224,0.0019696984955854986,0.02252467665630206,552,0.024115673472714892,0.024433836719771312,0.022524676656302017,0.1259906013933651,0.4452256591448217,0.8815809406526364,-0.7544627938514923,0.7620333912633468,False,512.8077235221863,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm10_lam0p1_slr1
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm15_lam0p05_slr1p5,0,0.003,15.0,0.05,1.5,0.0,7,600,0.022175891504702634,0.004144131756977992,0.0091259157994318,0.022538813232360358,564,0.031301807304134434,0.03147342728093774,0.022538813232360427,0.12583976846640058,0.45560026802455517,0.8817563065033864,-0.6970152229020128,0.7803101963921661,False,534.5963380336761,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm15_lam0p05_slr1p5
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm20_lam0p05_slr1,0,0.003,20.0,0.05,1.0,0.0,7,600,0.02227019320585688,0.0025061901844711672,0.001549399873628024,0.022699430885136603,553,0.023819593079484905,0.024258320828223,0.022699430885136505,0.1264146768776389,0.49444871574098453,0.8805760764878803,-0.7418154082647037,0.8191586441085955,False,518.5232758522034,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm20_lam0p05_slr1
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm15_lam0p05_slr1p5,0,0.005,15.0,0.05,1.5,0.0,7,600,0.022585699890841793,0.007515863269531638,0.014549343655665351,0.022920297668571794,460,0.037135043546507145,0.03714667302586364,0.022920297668571937,0.12644897219670254,0.43306161783737934,0.879809677142726,-0.7367017563779326,0.7577715462049903,False,518.7477490901947,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm15_lam0p05_slr1p5
