dataset,panel_title,label,source,method,seed,best_validation_mse,test_mse_at_best_validation,curve_mse,curve_mae,run_dirs
linear,(c) Linear ($\alpha=0.5$),FedDeepGMM-SGDA,"mean base_sweep alpha=0.5, seeds 0-2",fedgda_s,mean:0|1|2,0.00035298375979572906,0.0003564817868720624,0.00028112895546922984,0.014313348473561468,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p5|results/rerun_protocol_v1/linear/fedgda_s/seed_1/rerun_protocol_v1_linear_fedgda_s_seed1_alpha0p5|results/rerun_protocol_v1/linear/fedgda_s/seed_2/rerun_protocol_v1_linear_fedgda_s_seed2_alpha0p5
linear,(c) Linear ($\alpha=0.5$),FedDeepGMM-OGDA-S,"fedogda_s pilot alpha=0.5, validation-selected config, mean seeds 0-2",fedogda_s,mean:0|1|2,0.0009544190360002945,0.0009676150524905301,0.0005749899387654642,0.018738285687610864,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/linear/fedogda_s/seed_0/tune_fedogda_s_linear_seed0_alpha0p5_cm20_wd0p001|results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/linear/fedogda_s/seed_1/tune_fedogda_s_linear_seed1_alpha0p5_cm20_wd0p001|results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/linear/fedogda_s/seed_2/tune_fedogda_s_linear_seed2_alpha0p5_cm20_wd0p001
linear,(c) Linear ($\alpha=0.5$),DeepGMM-GDA,"centralized C5 validation-tuned GDA/SGDA, mean seeds 0-2",gda,mean:0|1|2,0.009346491629144289,0.009543762701698218,0.004972092875914215,0.05726086445223575,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/gda/seed_0/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/gda/seed_1/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/gda/seed_2/glr_0p005_flr_0p03
linear,(c) Linear ($\alpha=0.5$),DeepGMM-SGDA,"centralized C5 validation-tuned GDA/SGDA, mean seeds 0-2",sgda,mean:0|1|2,0.007804446485904,0.007997298100588622,0.004180393463165936,0.052694130772757225,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/sgda/seed_0/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/sgda/seed_1/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/sgda/seed_2/glr_0p005_flr_0p03
linear,(c) Linear ($\alpha=0.5$),DeepGMM-OAdam,"centralized C3 OAdam, mean seeds 0-2",oadam,mean:0|1|2,0.0007439620583110646,0.0007596637352553278,0.000508471792181067,0.018789998585041,results/centralized_lowdim_v1/linear/oadam/seed_0|results/centralized_lowdim_v1/linear/oadam/seed_1|results/centralized_lowdim_v1/linear/oadam/seed_2
sin,(d) Sine ($\alpha=0.5$),FedDeepGMM-SGDA,"mean base_sweep alpha=0.5, seeds 0-2",fedgda_s,mean:0|1|2,0.07630442559801574,0.07803413463060639,0.07731736974281828,0.23456370076635955,results/rerun_protocol_v1/sin/fedgda_s/seed_0/rerun_protocol_v1_sin_fedgda_s_seed0_alpha0p5|results/rerun_protocol_v1/sin/fedgda_s/seed_1/rerun_protocol_v1_sin_fedgda_s_seed1_alpha0p5|results/rerun_protocol_v1/sin/fedgda_s/seed_2/rerun_protocol_v1_sin_fedgda_s_seed2_alpha0p5
sin,(d) Sine ($\alpha=0.5$),FedDeepGMM-OGDA-S,"base_sweep alpha=0.5 preset, mean seeds 0-2; provisional (not tuned)",fedogda_s,mean:0|1|2,0.08360137117039597,0.08614024481590275,0.08482932441953663,0.2435058483459604,results/rerun_protocol_v1/sin/fedogda_s/seed_0/rerun_protocol_v1_sin_fedogda_s_seed0_alpha0p5|results/rerun_protocol_v1/sin/fedogda_s/seed_1/rerun_protocol_v1_sin_fedogda_s_seed1_alpha0p5|results/rerun_protocol_v1/sin/fedogda_s/seed_2/rerun_protocol_v1_sin_fedogda_s_seed2_alpha0p5
sin,(d) Sine ($\alpha=0.5$),DeepGMM-GDA,"centralized C5 validation-tuned GDA/SGDA, mean seeds 0-2",gda,mean:0|1|2,0.08554771523196063,0.08711736474267473,0.08407873691838423,0.2461785184106458,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/sin/gda/seed_0/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/sin/gda/seed_1/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/sin/gda/seed_2/glr_0p005_flr_0p03
sin,(d) Sine ($\alpha=0.5$),DeepGMM-SGDA,"centralized C5 validation-tuned GDA/SGDA, mean seeds 0-2",sgda,mean:0|1|2,0.08602198127613603,0.08767995029722885,0.08494938266149,0.24702981797502685,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/sin/sgda/seed_0/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/sin/sgda/seed_1/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/sin/sgda/seed_2/glr_0p005_flr_0p03
sin,(d) Sine ($\alpha=0.5$),DeepGMM-OAdam,"centralized C3 OAdam, mean seeds 0-2",oadam,mean:0|1|2,0.03679573970306754,0.03767611917382725,0.037318079718984064,0.15036646885535224,results/centralized_lowdim_v1/sin/oadam/seed_0|results/centralized_lowdim_v1/sin/oadam/seed_1|results/centralized_lowdim_v1/sin/oadam/seed_2
