role,promoted,reason,run_id,seed,learning_rate,critic_multiplier,objective_lambda_1,server_learning_rate,weight_decay,best_validation_mse,last_50_val_mse_std,final_vs_best_validation_gap,test_mse_at_best_validation,best_validation_round,curve_mse,curve_mae,curve_corr,result_dir
incumbent_control,True,always_confirm_seeds_1_2,v5_stage_a_full_budget_probe_step_fedogda_s_seed0_alpha0p5_T1500_R7_batch256_glr0p005_cm15_lam0p1_slr1p5,0,0.005,15.0,0.1,1.5,0.0,0.010456710930982103,0.005133917246040942,0.00030525308164823517,0.010636225967950308,1492,0.01063622596795026,0.07737446754889205,0.9479060931945184,results/curve_fitting_tuning/fedogda_s_step_fast_v5/step/fedogda_s/seed_0/v5_stage_a_full_budget_probe_step_fedogda_s_seed0_alpha0p5_T1500_R7_batch256_glr0p005_cm15_lam0p1_slr1p5
best_non_incumbent_challenger,True,beats_control_validation,v5_stage_a_full_budget_probe_step_fedogda_s_seed0_alpha0p5_T1500_R7_batch256_glr0p0075_cm20_lam0p05_slr1,0,0.0075,20.0,0.05,1.0,0.0,0.004615986883549996,0.014574059673288644,0.042232425562098067,0.004807480805144596,1140,0.004807480805144612,0.039219021172577015,0.9770378560917807,results/curve_fitting_tuning/fedogda_s_step_fast_v5/step/fedogda_s/seed_0/v5_stage_a_full_budget_probe_step_fedogda_s_seed0_alpha0p5_T1500_R7_batch256_glr0p0075_cm20_lam0p05_slr1
