Round,MSE
0,0.5041294176887784
1,0.5040315857724208
2,0.5038642509287834
3,0.503724305703616
4,0.5036433027350533
5,0.5035492323365387
6,0.5033458653538943
7,0.5031239526626258
8,0.5028369308453637
9,0.5017548386007691
10,0.5012904446887577
11,0.49996355811985577
12,0.4983742241116831
13,0.4980669179455992
14,0.4961630312289848
15,0.4939891693158176
16,0.4935914333454601
17,0.49321414907520156
18,0.49067143003809416
19,0.48777774666873086
20,0.48723133768358196
21,0.48562268541809245
22,0.4822445773590009
23,0.481629408325894
24,0.47787584884798423
25,0.47566647825537967
26,0.4715809922990072
27,0.4707393547556288
28,0.4663283203294519
29,0.46385615209671505
30,0.45863195892894
31,0.4540015319955036
32,0.4531323494471577
33,0.45068091633322926
34,0.44977308650594067
35,0.44882483853447613
36,0.4459320265893784
37,0.44060773635281075
38,0.43771644535898185
39,0.4368257070273479
40,0.43138950140001814
41,0.4301342606425886
42,0.4272802253020096
43,0.4214273426432124
44,0.4152715168643168
45,0.4147645511800958
46,0.40893303868102965
47,0.4033893311510953
48,0.3977314396611511
49,0.3917107823448274
50,0.3863504438608772
51,0.3854388388699187
52,0.380117067823606
53,0.3792415124431764
54,0.3740246793896942
55,0.36888965974738247
56,0.3680878918335555
57,0.36717631059079325
58,0.36631108776620674
59,0.36523588926164946
60,0.3643055399706348
61,0.35962728224993246
62,0.3588373782377609
63,0.3543836139675946
64,0.34949310251811155
65,0.34514163493891276
66,0.3412480187598823
67,0.3392333739759861
68,0.33475981782286635
69,0.3340649504198085
70,0.32962610853201096
71,0.325951048579178
72,0.3222960225700911
73,0.318812473687407
74,0.3182646837072286
75,0.3149582293953361
76,0.31160041719609205
77,0.30867820874255697
78,0.30836051030149275
79,0.3055161990135464
80,0.3027892225287108
81,0.3001769530102948
82,0.29753369764216925
83,0.29478138400929993
84,0.29204300038336295
85,0.2895054300398374
86,0.2890819188453787
87,0.28857752037469736
88,0.28616706236225603
89,0.283765568077355
90,0.28148935138411524
91,0.2793597913416491
92,0.2774885230679782
93,0.2771526257494533
94,0.27679990829459367
95,0.2757029364890808
96,0.27475049725485234
97,0.2737175511842361
98,0.2727800652913058
99,0.2715994323100895
