Round,MSE
0,1.196645555391439
1,1.0402370405294314
2,0.886932060221377
3,0.730089644223186
4,0.6280573756164349
5,0.5771893135081272
6,0.5392151701785264
7,0.4001184254413468
8,0.34222534175746583
9,0.2582204033081447
10,0.13394959428073003
11,0.11430368605911417
12,0.08108342928710886
13,0.04066035907175683
14,0.035549198832676265
15,0.037256485520659056
16,0.04346255482487395
17,0.04736111780031486
18,0.05531453537076075
19,0.05628064522125771
20,0.05721710754249384
21,0.056790461191850196
22,0.04942541192481551
23,0.04647947763947982
24,0.039761841047276786
25,0.03557763949509738
26,0.030397928357755847
27,0.02352591319379017
28,0.01937240854472122
29,0.018291495861460286
30,0.018377360610041773
31,0.01857166188285724
32,0.016331751275767595
33,0.016112805618371986
34,0.017228704333471654
35,0.020522925636684092
36,0.021323170508622345
37,0.021473050654649425
38,0.02141251863187938
39,0.020854893148001537
40,0.015586239849121731
41,0.015722965899733515
42,0.017298931925091528
43,0.02334878382085041
44,0.030068221552212504
45,0.03666274681687204
46,0.037768908117633435
47,0.03661494401483827
48,0.028122050778992713
49,0.02144368799893368
50,0.01379613877377977
51,0.00829823367944729
52,0.0061288934895987555
53,0.005883123759215974
54,0.006687710400358981
55,0.006832225834230204
56,0.006502041383950037
57,0.005227330552757514
58,0.007343985592815608
59,0.010011807698866265
60,0.011457747246439148
61,0.012360452938714517
62,0.008836676730031662
63,0.007210073475030132
64,0.0069223130673739435
65,0.006051390304417397
66,0.0053597338978286285
67,0.003973750406454014
68,0.0030020217896215375
69,0.0024900225201993365
70,0.0023133983807558777
71,0.00219060925814995
72,0.001901736219559051
73,0.0018828224087916166
74,0.0018422104608652476
75,0.0017177047282525624
76,0.0017506889177163153
77,0.0016724486921670695
78,0.0015509265755751817
79,0.001439339956986915
80,0.0015763932744319322
81,0.0014959025427434681
82,0.0013739414802907029
83,0.0010691107477549349
84,0.0009638669293702747
85,0.000958383183222898
86,0.0010837518007791368
87,0.0009389039500383862
88,0.0023810804877029113
89,0.005039233454831678
90,0.004605701925172486
91,0.0031026009660522222
92,0.001998408293037017
93,0.0013383203083742437
94,0.0013258823087970591
95,0.00166097699797118
96,0.001921457448703865
97,0.0021565821215018275
98,0.0022775323875132963
99,0.0023342146383133534
100,0.0022989630255645923
101,0.0027672843697038453
102,0.001281040386527649
103,0.0014842924730453847
104,0.0020690708713594157
105,0.0022084216728631297
106,0.002216039972939477
107,0.001952764682316968
108,0.0030422838407013733
109,0.003870994055850742
110,0.005784029421677267
111,0.0063066727101904725
112,0.004679499062648331
113,0.003087610057970454
114,0.005331876035110248
115,0.006419763234512241
116,0.006144977857999509
117,0.0044155416468339165
118,0.0033742613335291816
119,0.0023274862680807873
120,0.0016137169548866939
121,0.0015575908792303834
122,0.0023583326871295567
123,0.0031107884145488798
124,0.004536330125399126
125,0.0027440846383819766
126,0.002239454224965442
127,0.0017184609840371586
128,0.00146757583971014
129,0.001773522126162373
130,0.0023419231748234813
131,0.003547988203968103
132,0.00509535198142784
133,0.005554023320691164
134,0.004647728510100618
135,0.00425092644315
136,0.002070515691401718
137,0.0025550298993587575
138,0.0020661302583567
139,0.0017543983937875524
140,0.0020706786000720765
141,0.002430272776858106
142,0.003180289173010417
143,0.003997452698816768
144,0.004469206357761642
145,0.005596040957776765
146,0.007268967776233845
147,0.007479795351437477
148,0.0056474774014077436
149,0.004554109572850272
150,0.004250525220217158
151,0.004309658780213664
152,0.00487131490108601
153,0.005580765423728647
154,0.005898008763495425
155,0.005920476472035404
156,0.005491635648814353
157,0.003431636688840203
158,0.0027499028880956693
159,0.002529972978197296
160,0.002828850562313465
161,0.0028187269842826317
162,0.002491103858016104
163,0.004323701056494179
164,0.0049290342235831855
165,0.005265775209614286
166,0.005272120442244141
167,0.00539055011307805
168,0.005128412377593681
169,0.0047042515062255446
170,0.004449259227960641
171,0.0040766219336367425
172,0.002200529968176915
173,0.001914551978921676
174,0.0014574700641011573
175,0.0014470932696237177
176,0.0017157372592204582
177,0.0021158313649117947
178,0.0030747656585807166
179,0.003261405514783085
180,0.003858475778004428
181,0.004190406748877189
182,0.0043898121023240545
183,0.004911242992071864
184,0.008329512230721514
185,0.010002700150890146
186,0.010726775265288625
187,0.009537454782335303
188,0.007645957801875673
189,0.005767455649245026
190,0.0041857017084438635
191,0.0027408415493032482
192,0.0024810983515389717
193,0.0019677468817968463
194,0.00198104105903613
195,0.002752184941190466
196,0.002869313601389128
197,0.002676355924553042
198,0.0032920977396828804
199,0.0036863055404012797
