Round,MSE
0,0.10117211473811319
1,0.10222891584318614
2,0.10096853393394906
3,0.09814195629318934
4,0.09730345522757798
5,0.09706176126822973
6,0.0962966482676524
7,0.09217470068875405
8,0.08994199538934636
9,0.08666324386722474
10,0.08030741080962407
11,0.0829686597593958
12,0.080358608396786
13,0.07256825283652787
14,0.0681913280067559
15,0.06529757905840468
16,0.0639756443080854
17,0.06371134994727654
18,0.05638336522850592
19,0.05703911093605928
20,0.05593618809716674
21,0.054145307692137136
22,0.051978090293265396
23,0.0521749338812275
24,0.050778090769671366
25,0.05045875195675774
26,0.049596446841847205
27,0.047662498231343935
28,0.046406058631828354
29,0.04524468892894896
30,0.04301203417672666
31,0.043230001632471204
32,0.0418676022608535
33,0.04198735225610802
34,0.04132349670339122
35,0.0398705441416774
36,0.04023557658879622
37,0.039772208149850566
38,0.03976929568962147
39,0.039277798076212345
40,0.03808658541553401
41,0.0382988510471154
42,0.038127544606898406
43,0.03785298060991288
44,0.037520395229057354
45,0.03737495386536856
46,0.037407436420271264
47,0.037296739918383115
48,0.03724918512151114
49,0.03716140578046616
50,0.03712211810607356
51,0.03710441275434917
52,0.03707414536437836
53,0.037079546488722075
54,0.03707285634766772
55,0.037100191947130955
56,0.03704403246394806
57,0.03698900199763655
58,0.03700132409719938
59,0.036975515241449625
60,0.03696476583507656
61,0.0369721039984227
62,0.037063596893438286
63,0.03704908592144259
64,0.03700340734635594
65,0.03701906782168464
66,0.03700831723270832
67,0.03695879275519308
68,0.036927258013026716
69,0.03614382133480328
70,0.036321861293390496
71,0.03632919074366348
72,0.036226079386567134
73,0.036233464405065995
74,0.036217682362332235
75,0.03608453285233502
76,0.03600706177400765
77,0.035999426952324894
78,0.035810323524333616
79,0.03578816458267389
80,0.0357334300693423
81,0.035732258066650716
82,0.03565031642511974
83,0.03556242353902323
84,0.035534997818101634
85,0.03544584159538816
86,0.03519294184949267
87,0.035282312178949594
88,0.035254425933132896
89,0.035244074537564174
90,0.035170331448650095
91,0.035158287570035716
92,0.03514789059803261
93,0.03512644786623934
94,0.03513501905957262
95,0.035147885217826316
96,0.03510689261497672
97,0.03512204362316193
98,0.03512496760837085
99,0.03508708319746796
100,0.035106795715104076
101,0.03510879181376145
102,0.035088000903385486
103,0.03500551440204461
104,0.03499358725296432
105,0.03497230728976766
106,0.034974023980551515
107,0.03498196420567511
108,0.03497388042357458
109,0.03497189401490235
110,0.03502707279857624
111,0.03502189645512519
112,0.035041325685160885
113,0.03505739505212831
114,0.03514618429230306
115,0.035133451255373156
116,0.03516401966737431
117,0.03518838544188781
118,0.03518265926168079
119,0.035184355622842736
120,0.03523432857967032
121,0.03528333577182625
122,0.03530692582470012
123,0.03530567087052888
124,0.03533981807233477
125,0.03540493934126729
126,0.035376304140709657
127,0.03537313448832819
128,0.035370515969712156
129,0.03537808575075793
130,0.03538630138522883
131,0.03542860736415396
132,0.035416670944820886
133,0.03544264629367709
134,0.03545589139079401
135,0.03542111676515693
136,0.035366655253681885
137,0.03511770862754186
138,0.035274880009051504
139,0.035292112733425626
140,0.03528567317891094
141,0.035271566704301344
142,0.03528347010599845
143,0.03528601675622775
144,0.03530127710534062
145,0.035250694226815
146,0.035301939466115415
147,0.035312710390659766
148,0.0353272266463236
149,0.03538359162779181
150,0.03536620325802603
151,0.035336694197524235
152,0.03533508808050574
153,0.03529621326172274
154,0.03529724681932095
155,0.035304311037306954
156,0.03531586998313364
157,0.03529763206587777
158,0.035258188437388344
159,0.03526855877045441
160,0.035171220921050586
161,0.03519442738133875
162,0.03516480976069395
163,0.03504825121214175
164,0.035104445508335025
165,0.03512945604623056
166,0.035156382508137955
167,0.03513125073503096
168,0.03511464179220726
169,0.035133675831659536
170,0.03511143000427493
171,0.03512423360543728
172,0.035178357186442744
173,0.03514800469315835
174,0.03511741287549904
175,0.0351362267863104
176,0.03514251666229768
177,0.03515774236385729
178,0.03514469706925111
179,0.035130529434234975
180,0.03512763719947767
181,0.03507888208173514
182,0.03507593886441577
183,0.03498602734194466
184,0.03484852811382189
185,0.03483219798887256
186,0.03483911173272602
187,0.0347639317788502
188,0.03473618559014231
189,0.034691202208952464
190,0.03465221740777116
191,0.03462050105416823
192,0.03445229448948722
193,0.034522343652113145
194,0.034467161028129766
195,0.03440254006875548
196,0.03431288007715792
197,0.03435150096774818
198,0.034276340860165115
199,0.03428018077066714
