Round,MSE
0,1.4168456174897819
1,1.423090053228992
2,1.4309945110489297
3,1.4365153475634644
4,1.4428410281022899
5,1.4472427701892672
6,1.4526026688704714
7,1.4629693733710512
8,1.4659040095485534
9,1.4732929108113748
10,1.4828581566640169
11,1.4857345839070457
12,1.491165861200009
13,1.5003269180473227
14,1.507654141304604
15,1.515003368204742
16,1.5220717933419718
17,1.5259388396204558
18,1.5352013476857311
19,1.5407897265120234
20,1.5454141495799631
21,1.5510208432192527
22,1.5586145096745783
23,1.5632303943996566
24,1.5688911056787878
25,1.574518850542842
26,1.580177095834342
27,1.5879139275773713
28,1.5949793740197218
29,1.6015417553860964
30,1.6100510228998726
31,1.6137681542009528
32,1.6213981934255017
33,1.6262176133274424
34,1.6338899218569758
35,1.6445377696676062
36,1.6473044917725899
37,1.6531950600173608
38,1.6587104526953398
39,1.6646684426622544
40,1.6744614900169479
41,1.6783702852545266
42,1.6842233772578337
43,1.6899224069847432
44,1.6980308061054001
45,1.7046842906647675
46,1.709696982409359
47,1.7156509393642416
48,1.721624475664688
49,1.727584396053234
50,1.7335833397943778
51,1.7395786333144214
52,1.7455886576620054
53,1.7516027747407574
54,1.7597407436822545
55,1.764736068333327
56,1.7729944917516753
57,1.7801864241653267
58,1.7907669120793475
59,1.7957102998829497
60,1.8010011783217688
61,1.8071009844616506
62,1.8208022010667038
63,1.8253931647771204
64,1.830463211392461
65,1.836253596544661
66,1.842216970247651
67,1.8486386283522378
68,1.8548722455318642
69,1.9025524260296631
70,1.8880667416462158
71,1.8943759559055005
72,1.9005872393490528
73,1.9069292454936768
74,1.9124552857799118
75,1.9234329395085024
76,1.927601073370457
77,1.9340328504466968
78,1.9427128007939414
79,1.947774568525924
80,1.9563957098067062
81,1.9612666495140634
82,1.9678554664351589
83,1.974388112450351
84,1.9808709549611594
85,1.9873609882028385
86,1.9977979277990439
87,2.0023370099445903
88,2.011211774678894
89,2.018374960036474
90,2.0283866680555076
91,2.032759386214304
92,2.0393016650413847
93,2.045872813394181
94,2.0548856801330215
95,2.0623855304148697
96,2.0704072362963792
97,2.0758574179594476
98,2.0825270362328623
99,2.0914549862254828
100,2.099444375270581
101,2.1047660772278394
102,2.156128879928517
103,2.140469420550378
104,2.1554758564765937
105,2.1626570446305626
106,2.167220619351191
107,2.1740361431035122
108,2.186937928936465
109,2.190785495395091
110,2.2018677925099612
111,2.206075585661498
112,2.215648102069786
113,2.223896239209708
114,2.231485889215787
115,2.237395495519829
116,2.2443370761607033
117,2.252820495736371
118,2.2590515698978395
119,2.2660459881445156
120,2.273058566555539
121,2.2800694371877426
122,2.2880256962675922
123,2.294589961019894
124,2.30420403938558
125,2.3147136992777035
126,2.3194585297189665
127,2.3262750535181516
128,2.332780389278461
129,2.340292934499698
130,2.3472864857571496
131,2.352366685072758
132,2.3597466394633533
133,2.3670907900003098
134,2.3765708410218274
135,2.3826903211739694
136,2.3931751538914576
137,2.4453560468513214
138,2.4290820985341006
139,2.436155798083319
140,2.4436024822160074
141,2.450855464274326
142,2.4582405414354396
143,2.46546348043612
144,2.471855292394957
145,2.4796994708944076
146,2.489727615721078
147,2.4956708763250224
148,2.5058376715558954
149,2.5143680919317886
150,2.5205565116335196
151,2.5278126155193896
152,2.5353604984749154
153,2.542760976791829
154,2.550278227111906
155,2.5577886140039787
156,2.564979105556644
157,2.5752210718996134
158,2.5810295564539962
159,2.5912018168418265
160,2.6001433962546128
161,2.609148202219273
162,2.618119664021018
163,2.6319131197282766
164,2.635759493670166
165,2.641813287654088
166,2.649833376253136
167,2.6576944459642613
168,2.6649980973444287
169,2.672434962034103
170,2.6802381879945085
171,2.6882076707394424
172,2.6984134417053505
173,2.703788802113407
174,2.7120595526590274
175,2.7221543844778724
176,2.728772956125496
177,2.7360655179705846
178,2.744114229147305
179,2.753448232184646
180,2.7602706813253644
181,2.7679147420727563
182,2.7757009447217027
183,2.782555209630951
184,2.792888058092255
185,2.7997137560624656
186,2.8067587966076064
187,2.8138855538632943
188,2.8210196345166327
189,2.8290949797576705
190,2.836930422547477
191,2.8449270354503637
192,2.8558241175337167
193,2.8623598169511832
194,2.8695868350816744
195,2.8823001132635433
196,2.8934644798009916
197,2.898604369982149
198,2.9117628827485262
199,2.9169748962344793
200,2.9224541574361287
201,2.9315247684919297
202,2.9393439372067167
203,2.9462262047614973
204,2.9688591369073043
205,2.970155465204257
206,2.975206655107393
207,2.9847942704992927
208,2.9930744753140885
209,3.001307754952167
210,3.0113771455411142
211,3.023898251767811
212,3.029539129315634
213,3.0374654523097497
214,3.0457398295404703
215,3.053619082164885
216,3.0611903435006482
217,3.069994258215416
218,3.0781503031912574
219,3.0862381244489687
220,3.1001875009964746
221,3.1058515478083746
222,3.1139712550807084
223,3.1214756129866577
224,3.1324325369259958
225,3.1422162796189346
226,3.148406032002768
227,3.157371503407176
228,3.164425271616391
229,3.1726590488770454
230,3.1828305644114643
231,3.1936370453246066
232,3.2002138589451095
233,3.208382665289588
234,3.2172051038373453
235,3.2281922262205334
236,3.24010467193783
237,3.2454666652905524
238,3.253809581573352
239,3.2613488394256556
240,3.2706297824800297
241,3.2797774399297253
242,3.2893877032683836
243,3.2960683839696125
244,3.304675310756739
245,3.3167899352451458
246,3.326472659545905
247,3.33229872670322
248,3.3405095928184267
249,3.349606897471511
250,3.358029524239029
251,3.367291600356716
252,3.37443315085581
253,3.3878347723554936
254,3.392423554402865
255,3.401713381019773
256,3.4090087162282696
257,3.420130088318116
258,3.4276712029227636
259,3.434488892386586
260,3.4528288000500487
261,3.456444035341679
262,3.463557406482182
263,3.4707527421961264
264,3.483358001612562
265,3.4897622670078694
266,3.4976911113658593
267,3.505722823598113
268,3.523163079101639
269,3.5270872250061367
270,3.5377733643684346
271,3.5484653091007936
272,3.555434357981896
273,3.5679288738367716
274,3.5731361736267164
275,3.582580738676721
276,3.5939717188241715
277,3.603153854722561
278,3.6137406418242515
279,3.629854520617357
280,3.633150789711452
281,3.642084145709983
282,3.652688188570997
283,3.659867618523451
284,3.6689188811650033
285,3.6793772884210645
286,3.6874406986671966
287,3.699470806366659
288,3.712765513564296
289,3.71828475756353
290,3.727778364156776
291,3.736246747193548
292,3.7442763771725702
293,3.7564257703522164
294,3.7655986683080154
295,3.771359332529394
296,3.783705369864018
297,3.797536286360525
298,3.803330150088029
299,3.809900496017381
300,3.8197200686918578
301,3.8284820909075212
302,3.836999379382549
303,3.8440559265212504
304,3.8526213908702682
305,3.8650538458000128
306,3.872355122005676
307,3.881642098899185
308,3.897907575052161
309,3.903022908581943
310,3.9152229423197293
311,3.921712977871152
312,3.9310250637117585
313,3.9392771863890768
314,3.9468091737145863
315,3.956441467573515
316,3.9675396731129484
317,3.9792423806503487
318,3.98630370725252
319,3.996871583192288
320,4.00311837414381
321,4.013101365626279
322,4.0201476049016795
323,4.028344314390494
324,4.048990516084047
325,4.055372738081155
326,4.0649340059558146
327,4.073218470903948
328,4.083331340648541
329,4.0904186684014086
330,4.10314786717811
331,4.119296933456468
332,4.122462923522077
333,4.136628421751391
334,4.144443655048497
335,4.1504494075643645
336,4.158737020328701
337,4.1690375314881605
338,4.178666619284155
339,4.187287037330283
340,4.197305222914189
341,4.207207697141351
342,4.217676760750085
343,4.225358850436697
344,4.242847083160813
345,4.250208998165297
346,4.255300856098879
347,4.264902401786254
348,4.274304292987717
349,4.28269328007685
350,4.296453377811556
351,4.318649458726443
352,4.319740421557062
353,4.326913351232132
354,4.3361166975570855
355,4.350673114513239
356,4.3568322415759395
357,4.366033580319688
358,4.378022278785057
359,4.388685376782321
360,4.4013334020654655
361,4.4073036873586195
362,4.414270548070264
363,4.422879636937214
364,4.43190610896273
365,4.451342699168302
366,4.454823749208459
367,4.463153804820056
368,4.525757639011967
369,4.50791928144461
370,4.517871709644885
371,4.526771880814305
372,4.534897979088244
373,4.546294401921269
374,4.553791685850778
375,4.560481896168057
376,4.570493869746159
377,4.579370278527904
378,4.585769694683734
379,4.593363224506692
380,4.603251151659407
381,4.6122161314560275
382,4.624347327085779
383,4.627124296415002
384,4.639589478411701
385,4.644686795803687
386,4.65488595129095
387,4.664301724934864
388,4.672359789616508
389,4.684310172944906
390,4.69068194815092
391,4.696109263216397
392,4.703499037761995
393,4.721589694827466
394,4.728533114834947
395,4.738109061275469
396,4.747459122844946
397,4.755013499322326
398,4.761668025030546
399,4.774486893144349
400,4.783894175920459
401,4.79178250282154
402,4.796459235008425
403,4.807338870557974
404,4.815088902531907
405,4.819871007558632
406,4.83125206305082
407,4.886943100576938
408,4.869581307169346
409,4.875597735488847
410,4.886202072835174
411,4.896545753831367
412,4.902257986124276
413,4.909991295045309
414,4.920822297726876
415,4.924294977313378
416,4.931155330023986
417,4.939060920888147
418,4.94719800826049
419,4.955466018652156
420,4.964206042117317
421,4.972433168110926
422,4.979794496865825
423,4.989380819980065
424,5.0055384013626885
425,5.012519973847549
426,5.015544420449333
427,5.023082673498365
428,5.031519339847551
429,5.038468488415013
430,5.046848787301875
431,5.054585231490668
432,5.065812315386729
433,5.077339733590165
434,5.0786935221307195
435,5.084002006636529
436,5.090636407614959
437,5.099831068852907
438,5.111052070751815
439,5.116338437080732
440,5.12744130683836
441,5.132628173708364
442,5.1410269805061715
443,5.154628457649868
444,5.1547664942112945
445,5.163218185680131
446,5.171390029519974
447,5.179874773209158
