family,phase,artifact_status,dataset,method,mode,training_scope,partition_alpha,comm_round_or_iterations,local_epochs,batch_size,g_learning_rate,f_learning_rate,server_learning_rate,critic_multiplier,weight_decay,gradient_clip_norm,number_of_runs,number_of_seeds,seeds,diverged_runs,mean_best_validation_mse,std_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,std_final_validation_mse,mean_final_test_mse,std_final_test_mse,mean_runtime_seconds,std_runtime_seconds
centralized_lowdim_v1,,primary,linear,gda,deterministic,centralized,,500,,0,0.001,0.01,,,0,1,3,3,0|1|2,0,0.08211761970371394,0.09382422460511257,0.08439628361658941,0.09640939884691904,0.11288901561901786,0.06448279335531287,0.11489295374442436,0.06677170496537038,32.311852852503456,2.6340898273962536
centralized_lowdim_v1,,primary,linear,oadam,stochastic,centralized,,500,,256,0.001,0.01,,,0,1,3,3,0|1|2,0,0.0007439620583110646,0.000601607136007834,0.0007596637352553279,0.0006194178043768109,0.021632292119439483,0.015861362249628648,0.02166447256371619,0.015324063522954939,22.120526790618896,0.4671591257827792
centralized_lowdim_v1,,primary,linear,sgda,stochastic,centralized,,500,,256,0.001,0.01,,,0,1,3,3,0|1|2,0,0.08342734315831303,0.09338166089052373,0.08574717921454679,0.09600294830118769,0.11307789778823112,0.06340726338805569,0.11511381091504928,0.06582545785688441,22.459015289942425,2.0672353005984996
centralized_lowdim_v1,,primary,sin,gda,deterministic,centralized,,500,,0,0.001,0.01,,,0,1,3,3,0|1|2,0,0.1002429227640483,0.023683659228805373,0.10113594997705457,0.022348426963806737,0.11698913471581734,0.01132023982090524,0.11882869771456082,0.009005710432352333,31.182515541712444,2.3263334418638206
centralized_lowdim_v1,,primary,sin,oadam,stochastic,centralized,,500,,256,0.001,0.01,,,0,1,3,3,0|1|2,0,0.03679573970306755,0.00314989999820097,0.03767611917382726,0.0034331735080523453,0.040438043471605484,0.0064159530809236075,0.04145794511598002,0.0064532799419782195,21.939523855845135,0.7940372882640103
centralized_lowdim_v1,,primary,sin,sgda,stochastic,centralized,,500,,256,0.001,0.01,,,0,1,3,3,0|1|2,0,0.10032334272538017,0.023260681276890044,0.10119913616978989,0.021933185433061424,0.11692763971004479,0.010552642133703076,0.11878371875107611,0.008241753790930534,22.583523909250896,1.8991289579799688
centralized_lowdim_v1,,primary,step,gda,deterministic,centralized,,500,,0,0.001,0.01,,,0,1,3,3,0|1|2,0,0.05766309265400918,0.03773685467033259,0.058259065152514056,0.038066131894597524,0.07127168659137786,0.0248483898402912,0.0721480196955783,0.025041270397938884,31.28275529543559,2.249572792505035
centralized_lowdim_v1,,primary,step,oadam,stochastic,centralized,,500,,256,0.001,0.01,,,0,1,3,3,0|1|2,0,0.01697256642272293,0.0004966798592754473,0.01721401417344212,0.0005727677904835276,0.022038871530897553,0.008672147749102277,0.022301023169819908,0.008773187925090844,23.282176574071247,2.0941408846759058
centralized_lowdim_v1,,primary,step,sgda,stochastic,centralized,,500,,256,0.001,0.01,,,0,1,3,3,0|1|2,0,0.057608149926962386,0.03707549470717435,0.05819961339123079,0.03743310254829286,0.07171213589158894,0.023823946664891422,0.07258976924758985,0.024086813717864627,22.023842573165894,0.6357855694484101
centralized_lowdim_v1_smoke,,smoke,abs,gda,deterministic,centralized,,2,,0,0.001,0.01,,,0,1,1,1,0,0,2.647537724561854,0.0,2.712138455226392,0.0,2.6572434726292604,0.0,2.7220208425054957,0.0,0.48138904571533203,0.0
centralized_lowdim_v1_smoke,,smoke,abs,oadam,stochastic,centralized,,2,,256,0.001,0.01,,,0,1,1,1,0,0,2.801590254739793,0.0,2.8653814042744936,0.0,2.801590254739793,0.0,2.8653814042744936,0.0,0.15030336380004883,0.0
centralized_lowdim_v1_smoke,,smoke,abs,sgda,stochastic,centralized,,2,,256,0.001,0.01,,,0,1,1,1,0,0,2.6475632212861178,0.0,2.712167644240736,0.0,2.657403210571162,0.0,2.7222112412424506,0.0,0.24591827392578125,0.0
centralized_lowdim_v1_smoke_tiny,,smoke,abs,gda,deterministic,centralized,,2,,0,0.001,0.01,,,0,1,1,1,0,0,2.647537724561854,0.0,2.712138455226392,0.0,2.6572434726292604,0.0,2.7220208425054957,0.0,0.2065579891204834,0.0
centralized_lowdim_v1_smoke_tiny,,smoke,abs,oadam,stochastic,centralized,,2,,256,0.001,0.01,,,0,1,1,1,0,0,2.801590254739793,0.0,2.8653814042744936,0.0,2.801590254739793,0.0,2.8653814042744936,0.0,0.15929174423217773,0.0
centralized_lowdim_v1_smoke_tiny,,smoke,abs,sgda,stochastic,centralized,,2,,256,0.001,0.01,,,0,1,1,1,0,0,2.6475632212861178,0.0,2.712167644240736,0.0,2.657403210571162,0.0,2.7222112412424506,0.0,0.15252900123596191,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,abs,gda,deterministic,centralized,,500,,0,0.001,0.03,,,0,1,1,1,0,0,0.4594614632383272,0.0,0.47681153471026,0.0,0.4594614632383272,0.0,0.47681153471026,0.0,186.99347496032715,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,abs,gda,deterministic,centralized,,500,,0,0.002,0.01,,,0,1,1,1,0,0,0.3432543338034959,0.0,0.35037189350282777,0.0,0.36065688755338515,0.0,0.3722385235702896,0.0,108.8625636100769,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,abs,gda,deterministic,centralized,,500,,0,0.002,0.03,,,0,1,1,1,0,0,0.23257030102425588,0.0,0.23853900146457407,0.0,0.23257030102425588,0.0,0.23853900146457407,0.0,100.37738919258118,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,abs,gda,deterministic,centralized,,500,,0,0.005,0.01,,,0,1,1,1,0,0,0.291750951825973,0.0,0.29878025125769875,0.0,0.31234620911451205,0.0,0.3133172637242501,0.0,101.14184331893921,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,abs,gda,deterministic,centralized,,500,,0,0.005,0.03,,,0,1,1,1,0,0,0.05302576367829993,0.0,0.054314857088677705,0.0,0.05302576367829993,0.0,0.054314857088677705,0.0,102.57512831687927,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,abs,sgda,stochastic,centralized,,500,,256,0.001,0.03,,,0,1,1,1,0,0,0.45632566270552216,0.0,0.47348484122033924,0.0,0.45632566270552216,0.0,0.47348484122033924,0.0,71.02874946594238,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,abs,sgda,stochastic,centralized,,500,,256,0.002,0.01,,,0,1,1,1,0,0,0.34141171008493587,0.0,0.3483727601882681,0.0,0.35368385533526,0.0,0.3647563198231664,0.0,79.32969880104065,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,abs,sgda,stochastic,centralized,,500,,256,0.002,0.03,,,0,1,1,1,0,0,0.2289706860771763,0.0,0.23457690770327386,0.0,0.2289706860771763,0.0,0.23457690770327386,0.0,69.11074948310852,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,abs,sgda,stochastic,centralized,,500,,256,0.005,0.01,,,0,1,1,1,0,0,0.29464732891052037,0.0,0.30191383817169815,0.0,0.3046050183165706,0.0,0.3054904323997099,0.0,59.33615159988403,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,abs,sgda,stochastic,centralized,,500,,256,0.005,0.03,,,0,1,1,1,0,0,0.050380845932419975,0.0,0.05147121728718953,0.0,0.050380845932419975,0.0,0.05147121728718953,0.0,77.65493202209473,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,linear,gda,deterministic,centralized,,500,,0,0.001,0.03,,,0,1,1,1,0,0,0.1707704682595285,0.0,0.17748241080604737,0.0,0.1707704682595285,0.0,0.17748241080604737,0.0,89.67877650260925,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,linear,gda,deterministic,centralized,,500,,0,0.002,0.01,,,0,1,1,1,0,0,0.021077833696030966,0.0,0.02150043607336113,0.0,0.0337091867308718,0.0,0.03469603921119169,0.0,126.24150061607361,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,linear,gda,deterministic,centralized,,500,,0,0.002,0.03,,,0,1,1,1,0,0,0.025824697150732972,0.0,0.02671626205404894,0.0,0.13555863645807043,0.0,0.1332795520055538,0.0,124.01082563400269,0.0
