family,phase,artifact_status,dataset,method,mode,training_scope,partition_alpha,comm_round_or_iterations,local_epochs,batch_size,g_learning_rate,f_learning_rate,server_learning_rate,critic_multiplier,weight_decay,gradient_clip_norm,number_of_runs,number_of_seeds,seeds,diverged_runs,mean_best_validation_mse,std_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,std_final_validation_mse,mean_final_test_mse,std_final_test_mse,mean_runtime_seconds,std_runtime_seconds
rerun_protocol_v1_tuning,fedogda_s_pilot_alpha0p5,tuning,step,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.002,1.5,2,0.1,1,3,3,0|1|2,0,0.032075497806548045,0.004664077812605487,0.032763299765396534,0.004891994912147981,0.07963193040516915,0.03967668523267337,0.08130876067450266,0.04103748685383801,196.08687663078308,5.414080328246438
rerun_protocol_v1_tuning,fedogda_s_pilot_alpha0p5,tuning,step,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.005,1.5,5,0.001,1,3,3,0|1|2,0,0.0308012229087716,0.003191759125762978,0.03140992490410754,0.0033106778613444807,0.03237160797836559,0.0016815009782593785,0.033047837357642114,0.0017512315777251733,191.3468877474467,0.8785532939323856
rerun_protocol_v1_tuning,fedogda_s_pilot_alpha0p5,tuning,step,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.005,1.5,5,0.01,1,3,3,0|1|2,0,0.0308012229087716,0.003191759125762978,0.03140992490410754,0.0033106778613444807,0.03237160797836559,0.0016815009782593785,0.033047837357642114,0.0017512315777251733,196.16394964853922,7.7756419281774
rerun_protocol_v1_tuning,fedogda_s_pilot_alpha0p5,tuning,step,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.005,1.5,5,0.03,1,3,3,0|1|2,0,0.0308012229087716,0.003191759125762978,0.03140992490410754,0.0033106778613444807,0.03237160797836559,0.0016815009782593785,0.033047837357642114,0.0017512315777251733,192.55936479568481,2.3046054892135652
rerun_protocol_v1_tuning,fedogda_s_pilot_alpha0p5,tuning,step,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.005,1.5,5,0.1,1,3,3,0|1|2,0,0.0308012229087716,0.003191759125762978,0.03140992490410754,0.0033106778613444807,0.03237160797836559,0.0016815009782593785,0.033047837357642114,0.0017512315777251733,193.63143452008566,6.250258940924311
rerun_protocol_v1_tuning,fedogda_s_pilot_alpha0p5,tuning,step,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.01,1.5,10,0.001,1,3,3,0|1|2,0,0.02923679149210066,0.0032442387529994024,0.02978609531745534,0.0033295066318410863,0.030434834496206157,0.0030340470982912074,0.031132505131911417,0.0033186431524772284,191.7052342891693,0.4156022299117151
rerun_protocol_v1_tuning,fedogda_s_pilot_alpha0p5,tuning,step,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.01,1.5,10,0.01,1,3,3,0|1|2,0,0.02923679149210066,0.0032442387529994024,0.02978609531745534,0.0033295066318410863,0.030434834496206157,0.0030340470982912074,0.031132505131911417,0.0033186431524772284,193.20302001635233,3.5941010495159813
rerun_protocol_v1_tuning,fedogda_s_pilot_alpha0p5,tuning,step,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.01,1.5,10,0.03,1,3,3,0|1|2,0,0.02923679149210066,0.0032442387529994024,0.02978609531745534,0.0033295066318410863,0.030434834496206157,0.0030340470982912074,0.031132505131911417,0.0033186431524772284,190.83450269699097,1.2675296103018072
rerun_protocol_v1_tuning,fedogda_s_pilot_alpha0p5,tuning,step,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.02923679149210066,0.0032442387529994024,0.02978609531745534,0.0033295066318410863,0.030434834496206157,0.0030340470982912074,0.031132505131911417,0.0033186431524772284,189.97357161839804,1.8647553759139437
rerun_protocol_v1_tuning,fedogda_s_pilot_alpha0p5,tuning,step,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.02,1.5,20,0.001,1,3,3,0|1|2,0,0.02810324427426296,0.0029925127185810962,0.028600822706690954,0.0031526104424504813,0.02850262735521215,0.0024003264375487224,0.02902914359673654,0.002574708193970284,193.5645191669464,6.641183853002658
rerun_protocol_v1_tuning,fedogda_s_pilot_alpha0p5,tuning,step,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.02,1.5,20,0.01,1,3,3,0|1|2,0,0.02810324427426296,0.0029925127185810962,0.028600822706690954,0.0031526104424504813,0.02850262735521215,0.0024003264375487224,0.02902914359673654,0.002574708193970284,192.22222797075906,1.1299227508584857
rerun_protocol_v1_tuning,fedogda_s_pilot_alpha0p5,tuning,step,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.02,1.5,20,0.03,1,3,3,0|1|2,0,0.02810324427426296,0.0029925127185810962,0.028600822706690954,0.0031526104424504813,0.02850262735521215,0.0024003264375487224,0.02902914359673654,0.002574708193970284,191.88333996136984,1.9126617787432694
rerun_protocol_v1_tuning,fedogda_s_pilot_alpha0p5,tuning,step,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.02,1.5,20,0.1,1,3,3,0|1|2,0,0.02810324427426296,0.0029925127185810962,0.028600822706690954,0.0031526104424504813,0.02850262735521215,0.0024003264375487224,0.02902914359673654,0.002574708193970284,193.00903431574503,3.728342032433275
sine_fedogda_tuning,stage_A1_mini_deterministic,tuning,sin,fedogda_d,deterministic,federated,1,200,2,0,0.0005,0.005,1.5,10,0.1,1,1,1,0,0,0.0902353576571398,0.0,0.09347221799055921,0.0,0.0941144982285351,0.0,0.09655330609625991,0.0,2518.1880447864532,0.0
sine_fedogda_tuning,stage_A1_mini_deterministic,tuning,sin,fedogda_d,deterministic,federated,1,200,2,0,0.0005,0.0075,1.5,15,0.1,1,1,1,0,0,0.09035208343506251,0.0,0.09361305398343446,0.0,0.09136870397561053,0.0,0.0940339549124813,0.0,2626.2189605236053,0.0
sine_fedogda_tuning,stage_A1_mini_deterministic,tuning,sin,fedogda_d,deterministic,federated,1,200,2,0,0.001,0.01,1.5,10,0.1,1,1,1,0,0,0.08933344422239776,0.0,0.09237650433826704,0.0,0.09011836355151367,0.0,0.0935261117115375,0.0,2529.4249897003174,0.0
sine_fedogda_tuning,stage_A1_mini_deterministic,tuning,sin,fedogda_d,deterministic,federated,1,200,2,0,0.001,0.015,1.5,15,0.1,1,1,1,0,0,0.08936618866700272,0.0,0.09246769034746542,0.0,0.08957532563852795,0.0,0.09280655154231712,0.0,2482.6406722068787,0.0
sine_fedogda_tuning,stage_A1_mini_deterministic,tuning,sin,fedogda_d,deterministic,federated,1,200,2,0,0.002,0.02,1.5,10,0.1,1,1,1,0,0,0.08943097776896634,0.0,0.09251316822709107,0.0,0.08972636858212474,0.0,0.09288380916838651,0.0,2508.3744831085205,0.0
sine_fedogda_tuning,stage_A1_mini_deterministic,tuning,sin,fedogda_d,deterministic,federated,1,200,2,0,0.002,0.03,1.5,15,0.1,1,1,1,0,0,0.0886406678537213,0.0,0.09161217448410872,0.0,0.0886406678537213,0.0,0.09161217448410872,0.0,2450.9205119609833,0.0
sine_fedogda_tuning,stage_A1_mini_deterministic,tuning,sin,fedogda_d,deterministic,federated,1,200,3,0,0.0005,0.005,1.5,10,0.1,1,1,1,0,0,0.08931885050382202,0.0,0.09235589920611631,0.0,0.08932037619728535,0.0,0.09236897325373603,0.0,4008.370777130127,0.0
sine_fedogda_tuning,stage_A1_mini_deterministic,tuning,sin,fedogda_d,deterministic,federated,1,200,3,0,0.0005,0.0075,1.5,15,0.1,1,1,1,0,0,0.08933819828991357,0.0,0.09243329724253742,0.0,0.08950787850248305,0.0,0.0927501848334762,0.0,4099.223759889603,0.0
sine_fedogda_tuning,stage_A1_mini_deterministic,tuning,sin,fedogda_d,deterministic,federated,1,200,3,0,0.001,0.01,1.5,10,0.1,1,1,1,0,0,0.08938495138391216,0.0,0.09245123885338118,0.0,0.09013755660341079,0.0,0.0933207116818738,0.0,4058.484850168228,0.0
sine_fedogda_tuning,stage_A1_mini_deterministic,tuning,sin,fedogda_d,deterministic,federated,1,200,3,0,0.001,0.015,1.5,15,0.1,1,1,1,0,0,0.08946278633326141,0.0,0.09258812410151072,0.0,0.08991495610718643,0.0,0.09308912153984297,0.0,3965.449231863022,0.0
sine_fedogda_tuning,stage_A1_mini_deterministic,tuning,sin,fedogda_d,deterministic,federated,1,200,3,0,0.002,0.02,1.5,10,0.1,1,1,1,0,0,0.08812200164861018,0.0,0.09096077960726537,0.0,0.08812200164861018,0.0,0.09096077960726537,0.0,3976.1851875782013,0.0
sine_fedogda_tuning,stage_A1_mini_deterministic,tuning,sin,fedogda_d,deterministic,federated,1,200,3,0,0.002,0.03,1.5,15,0.1,1,1,1,0,0,0.0875283387303309,0.0,0.09025269225859107,0.0,0.0875283387303309,0.0,0.09025269225859107,0.0,4015.4996860027313,0.0
sine_fedogda_tuning,stage_A2_from_A1_mini,tuning,sin,fedogda_d,deterministic,federated,1,500,3,0,0.002,0.03,1.5,15,0.1,1,3,3,0|1|2,0,0.07794625308544244,0.004566517612967406,0.08001153457404324,0.0046749914923899264,0.07794625308544244,0.004566517612967406,0.08001153457404324,0.0046749914923899264,10789.446396112442,818.9858961572792
step,,primary,step,fedgda_s,stochastic,federated,0.5,1500,7,256,0.003,0.03,1.5,10,0.03,1,1,1,0,0,0.014504015634802471,0.0,0.014808642437582994,0.0,0.01697595673954123,0.0,0.01731636850516782,0.0,1116.1825931072235,0.0
step,,primary,step,fedogda_s,stochastic,federated,0.5,1500,7,256,0.001,0.01,1.5,10,0.1,1,1,1,0,0,0.018184986063088653,0.0,0.018537852230435622,0.0,0.018184986063088656,0.0,0.018537852230435622,0.0,1240.6299903392792,0.0
