seed,alpha,T,R,g_lr,f_lr,critic_multiplier,server_lr,weight_decay,fedogda_best_validation_round,fedogda_best_validation_mse,fedogda_test_mse_at_best_validation,fedogda_final_test_mse,fedogda_last50_test_mse_mean,fedogda_last50_test_mse_std,fedogda_last50_test_mse_cv,fedgda_test_mse_at_best_validation,absolute_gap,relative_gap_pct,winner,selected_without_test,selection_metric_source,test_mse_used_for_selection,result_dir
0,1.0,500,3,0.002,0.03,15.0,1.5,0.1,499,0.0810736141342876,0.0832102193262539,0.0832102193262539,0.0839005143926665,0.0003984589902555,0.0047491841157336,0.0900600729460791,-0.0068498536198251,-7.605871720675077,FedOGDA-D,True,validation,False,results/sine_fedogda_tuning/stage_A2_from_A1_mini/sin/fedogda_d/seed_0/stage_A2_from_A1_mini_sin_fedogda_d_seed0_alpha1p0_R3_cm15_slr1.5_glr0p002
1,1.0,500,3,0.002,0.03,15.0,1.5,0.1,499,0.0727059174558779,0.0746463115113123,0.0746463115113123,0.0757993172156607,0.0006775693479401,0.0089389901232536,0.0810307274700448,-0.0063844159587324,-7.879006098140539,FedOGDA-D,True,validation,False,results/sine_fedogda_tuning/stage_A2_from_A1_mini/sin/fedogda_d/seed_1/stage_A2_from_A1_mini_sin_fedogda_d_seed1_alpha1p0_R3_cm15_slr1.5_glr0p002
2,1.0,500,3,0.002,0.03,15.0,1.5,0.1,499,0.0800592276661617,0.0821780728845633,0.0821780728845633,0.0825377907295859,0.0002078303031096,0.0025180017695237,0.0872297883039328,-0.0050517154193694,-5.791273276702045,FedOGDA-D,True,validation,False,results/sine_fedogda_tuning/stage_A2_from_A1_mini/sin/fedogda_d/seed_2/stage_A2_from_A1_mini_sin_fedogda_d_seed2_alpha1p0_R3_cm15_slr1.5_glr0p002
