source,dataset,function,alpha,seed,fedgda_best_validation_mse,fedogda_best_validation_mse,fedgda_test_mse_at_best_validation,fedogda_test_mse_at_best_validation,absolute_gap,relative_gap_pct,winner,fedgda_final_test_mse,fedogda_final_test_mse,fedgda_curve_mse_best,fedogda_curve_mse_best,curve_mse_gap,fedgda_last50_test_mse_mean,fedogda_last50_test_mse_mean,config_match_status,caveat,fedgda_result_dir,fedogda_result_dir
baseline_sweep,step,Step,0.1,1,0.02582644307823007,0.025220696416826668,0.026199452397859823,0.02558361362937985,-0.0006158387684799746,-2.350578779769768,FedOGDA-D,0.029118501856528745,0.02840525154144172,0.026199452397859688,0.025583613629379793,-0.0006158387684798948,,,fully_paired_base_protocol,legacy run: per-round Test MSE not logged,results/rerun_protocol_v1/step/fedgda_d/seed_1/rerun_protocol_v1_step_fedgda_d_seed1_alpha0p1,results/rerun_protocol_v1/step/fedogda_d/seed_1/rerun_protocol_v1_step_fedogda_d_seed1_alpha0p1
baseline_sweep,step,Step,0.1,2,0.03159464000232325,0.031533961758296154,0.03229769040604756,0.03224387724789442,-5.381315815314314e-05,-0.1666161186035362,FedOGDA-D,0.03229769040604756,0.03232231897141619,0.03229769040604744,0.0322438772478944,-5.381315815304599e-05,,,fully_paired_base_protocol,legacy run: per-round Test MSE not logged,results/rerun_protocol_v1/step/fedgda_d/seed_2/rerun_protocol_v1_step_fedgda_d_seed2_alpha0p1,results/rerun_protocol_v1/step/fedogda_d/seed_2/rerun_protocol_v1_step_fedogda_d_seed2_alpha0p1
baseline_sweep,step,Step,0.5,0,0.03019594602590297,0.029224452733499794,0.030735466788692038,0.02975014439663422,-0.000985322392057817,-3.2058156098033606,FedOGDA-D,0.030735466788692038,0.02975014439663422,0.03073546678869229,0.02975014439663431,-0.0009853223920579801,,,fully_paired_base_protocol,legacy run: per-round Test MSE not logged,results/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha0p5,results/rerun_protocol_v1/step/fedogda_d/seed_0/rerun_protocol_v1_step_fedogda_d_seed0_alpha0p5
baseline_sweep,step,Step,0.5,1,0.025806636385407148,0.02521540527508708,0.02619811262844118,0.025570447363979242,-0.0006276652644619379,-2.395841537762275,FedOGDA-D,0.028531229939726944,0.028168889941582013,0.026198112628441312,0.02557044736397931,-0.0006276652644620004,,,fully_paired_base_protocol,legacy run: per-round Test MSE not logged,results/rerun_protocol_v1/step/fedgda_d/seed_1/rerun_protocol_v1_step_fedgda_d_seed1_alpha0p5,results/rerun_protocol_v1/step/fedogda_d/seed_1/rerun_protocol_v1_step_fedogda_d_seed1_alpha0p5
baseline_sweep,step,Step,0.5,2,0.031536431513596606,0.0315027731897732,0.032242884169416,0.03221464618447051,-2.823798494549362e-05,-0.0875789671827149,FedOGDA-D,0.03227600418539401,0.03238856784996857,0.03224288416941603,0.03221464618447056,-2.8237984945465866e-05,,,fully_paired_base_protocol,legacy run: per-round Test MSE not logged,results/rerun_protocol_v1/step/fedgda_d/seed_2/rerun_protocol_v1_step_fedgda_d_seed2_alpha0p5,results/rerun_protocol_v1/step/fedogda_d/seed_2/rerun_protocol_v1_step_fedogda_d_seed2_alpha0p5
baseline_sweep,step,Step,1.0,0,0.03015867273811927,0.029161007420156936,0.030703307633754083,0.029694188483456414,-0.0010091191502976694,-3.2866789543817134,FedOGDA-D,0.030703307633754083,0.029694188483456414,0.03070330763375415,0.029694188483456525,-0.0010091191502976243,,,fully_paired_base_protocol,legacy run: per-round Test MSE not logged,results/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha1p0,results/rerun_protocol_v1/step/fedogda_d/seed_0/rerun_protocol_v1_step_fedogda_d_seed0_alpha1p0
baseline_sweep,step,Step,1.0,1,0.02574641952375027,0.025188124652050156,0.026134598836368095,0.025550007682638518,-0.0005845911537295766,-2.2368476263583497,FedOGDA-D,0.028654730933773517,0.028302376852343495,0.026134598836368168,0.025550007682638282,-0.0005845911537298853,,,fully_paired_base_protocol,legacy run: per-round Test MSE not logged,results/rerun_protocol_v1/step/fedgda_d/seed_1/rerun_protocol_v1_step_fedgda_d_seed1_alpha1p0,results/rerun_protocol_v1/step/fedogda_d/seed_1/rerun_protocol_v1_step_fedogda_d_seed1_alpha1p0
baseline_sweep,step,Step,1.0,2,0.031484098732015256,0.03146384318880461,0.03218819372109492,0.03217508500770567,-1.3108713389248239e-05,-0.040725222119740404,FedOGDA-D,0.032239682349521355,0.03237664686496598,0.03218819372109493,0.032175085007705835,-1.3108713389095583e-05,,,fully_paired_base_protocol,legacy run: per-round Test MSE not logged,results/rerun_protocol_v1/step/fedgda_d/seed_2/rerun_protocol_v1_step_fedgda_d_seed2_alpha1p0,results/rerun_protocol_v1/step/fedogda_d/seed_2/rerun_protocol_v1_step_fedogda_d_seed2_alpha1p0
baseline_sweep,linear,Linear,0.1,0,0.0004173573645041929,0.00043575152354468846,0.00041994293246091114,0.00043707439684143045,1.7131464380519318e-05,4.079474389562191,FedGDA-D,0.0010586869489791098,0.000615866917273714,0.000419942932460914,0.0004370743968414306,1.7131464380516607e-05,,,fully_paired_base_protocol,legacy run: per-round Test MSE not logged,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha0p1,results/rerun_protocol_v1/linear/fedogda_d/seed_0/rerun_protocol_v1_linear_fedogda_d_seed0_alpha0p1
baseline_sweep,linear,Linear,0.1,1,0.00145816799297845,0.0007650735102023903,0.0014605749687742857,0.000768078060238619,-0.0006924969085356666,-47.412623339479104,FedOGDA-D,0.0016355022140316392,0.0016200587173734178,0.0014605749687742883,0.0007680780602386166,-0.0006924969085356717,,,fully_paired_base_protocol,legacy run: per-round Test MSE not logged,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha0p1,results/rerun_protocol_v1/linear/fedogda_d/seed_1/rerun_protocol_v1_linear_fedogda_d_seed1_alpha0p1
baseline_sweep,linear,Linear,0.1,2,0.01085957272302225,0.007433101248853471,0.010981465111730988,0.007580085655972026,-0.003401379455758962,-30.97382199143379,FedOGDA-D,0.012019133074431322,0.007580085655972026,0.010981465111731016,0.007580085655972029,-0.0034013794557589874,,,fully_paired_base_protocol,legacy run: per-round Test MSE not logged,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha0p1,results/rerun_protocol_v1/linear/fedogda_d/seed_2/rerun_protocol_v1_linear_fedogda_d_seed2_alpha0p1
baseline_sweep,linear,Linear,0.5,0,0.00041743596119569207,0.00043518279693349705,0.0004200587930385307,0.0004363229007720893,1.626410773355861e-05,3.8718646063592232,FedGDA-D,0.0012155682081471978,0.0006168476630115673,0.0004200587930385307,0.00043632290077208946,1.6264107733558774e-05,,,fully_paired_base_protocol,legacy run: per-round Test MSE not logged,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha0p5,results/rerun_protocol_v1/linear/fedogda_d/seed_0/rerun_protocol_v1_linear_fedogda_d_seed0_alpha0p5
baseline_sweep,linear,Linear,0.5,1,0.001349059493881742,0.0007714526017872178,0.0013492627216256184,0.0007745383435478757,-0.0005747243780777427,-42.595438891641756,FedOGDA-D,0.003059352890417647,0.001234528405039161,0.0013492627216256203,0.000774538343547879,-0.0005747243780777413,,,fully_paired_base_protocol,legacy run: per-round Test MSE not logged,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha0p5,results/rerun_protocol_v1/linear/fedogda_d/seed_1/rerun_protocol_v1_linear_fedogda_d_seed1_alpha0p5
