artifact_status,family,phase,dataset,method,mode,training_scope,seed,partition_alpha,run_id,comm_round_or_iterations,local_epochs,batch_size,g_learning_rate,f_learning_rate,server_learning_rate,critic_multiplier,weight_decay,gradient_clip_norm,best_validation_mse,best_validation_round,test_mse_at_best_validation,final_validation_mse,final_test_mse,runtime_seconds,diverged,selection_metric_source,test_mse_used_for_selection,test_mse_logged_by_round,has_mse_by_round,has_predictions,has_best_validation_checkpoint,config_path,metrics_path
primary,rerun_protocol_v1,,abs,fedgda_d,deterministic,federated,0,0.5,rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p5,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.010107855202000735,499,0.010333927256165375,0.010107855202000735,0.010333927256165375,8481.393657445908,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p5/effective_config.json,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p5/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_d,deterministic,federated,0,1.0,rerun_protocol_v1_abs_fedgda_d_seed0_alpha1p0,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.009493161013161739,499,0.00968776560216092,0.009493161013161739,0.00968776560216092,8703.191357135773,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha1p0/effective_config.json,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha1p0/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_d,deterministic,federated,1,0.1,rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p1,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.006561244554507419,465,0.006737937555359588,0.0077540049997619365,0.008085882610451234,8370.81798863411,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p1/effective_config.json,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p1/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_d,deterministic,federated,1,0.5,rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p5,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.00661780596877693,459,0.0067967435180782115,0.008218775314075815,0.00858508674382863,8598.610149621964,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p5/effective_config.json,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p5/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_d,deterministic,federated,1,1.0,rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.006813603530052323,452,0.0069985737178872316,0.009089576569381396,0.009515526939583439,8785.936648368835,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0/effective_config.json,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_d,deterministic,federated,2,0.1,rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p1,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.03633861398573548,499,0.03729636915667341,0.03633861398573548,0.03729636915667341,8586.169734239578,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p1/effective_config.json,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p1/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_d,deterministic,federated,2,0.5,rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p5,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.035202733981553054,499,0.03612385692391461,0.035202733981553054,0.03612385692391461,8557.363611221313,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p5/effective_config.json,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p5/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_d,deterministic,federated,2,1.0,rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.035563918059069104,499,0.03648782059317654,0.035563918059069104,0.03648782059317654,8808.940314531326,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0/effective_config.json,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_s,stochastic,federated,0,0.1,rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p1,500,3,256,0.003,0.03,1.5,10.0,0.03,1.0,0.000677726099664873,423,0.0007014676955070171,0.002677796901597559,0.0027008256542297247,392.4557795524597,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p1/effective_config.json,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p1/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_s,stochastic,federated,0,0.5,rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p5,500,3,256,0.003,0.03,1.5,10.0,0.03,1.0,0.0005237341518740604,222,0.0005328621876962478,0.001076617892090753,0.001118432342798487,181.0261514186859,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p5/effective_config.json,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p5/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_s,stochastic,federated,0,1.0,rerun_protocol_v1_abs_fedgda_s_seed0_alpha1p0,500,3,256,0.003,0.03,1.5,10.0,0.03,1.0,0.0005863352658592794,488,0.0006057864695677811,0.005211021507622607,0.005223435684973628,182.16509342193604,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha1p0/effective_config.json,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha1p0/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_s,stochastic,federated,1,0.1,rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p1,500,3,256,0.003,0.03,1.5,10.0,0.03,1.0,0.006225680175951548,391,0.006399854504840437,0.007542422803290181,0.00770980698874209,180.53315377235413,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p1/effective_config.json,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p1/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_s,stochastic,federated,1,0.5,rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p5,500,3,256,0.003,0.03,1.5,10.0,0.03,1.0,0.006419084240050454,150,0.006562232470117874,0.00850672651588012,0.008641235246094971,181.25218296051025,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p5/effective_config.json,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p5/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_s,stochastic,federated,1,1.0,rerun_protocol_v1_abs_fedgda_s_seed1_alpha1p0,500,3,256,0.003,0.03,1.5,10.0,0.03,1.0,0.0067637938333682986,406,0.006905123990474533,0.006808379173042358,0.006998887150620184,176.98243808746338,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha1p0/effective_config.json,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha1p0/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_s,stochastic,federated,2,0.1,rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p1,500,3,256,0.003,0.03,1.5,10.0,0.03,1.0,0.0013642446348014969,228,0.001397470631696574,0.006119229185690571,0.00608580013347739,187.8165876865387,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p1/effective_config.json,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p1/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_s,stochastic,federated,2,0.5,rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p5,500,3,256,0.003,0.03,1.5,10.0,0.03,1.0,0.001005735169824526,270,0.0010346327801986487,0.005491062172609885,0.005477743217867364,181.7880825996399,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p5/effective_config.json,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p5/metrics.json
primary,rerun_protocol_v1,,abs,fedgda_s,stochastic,federated,2,1.0,rerun_protocol_v1_abs_fedgda_s_seed2_alpha1p0,500,3,256,0.003,0.03,1.5,10.0,0.03,1.0,0.0010598985846768448,255,0.0010968679157301287,0.005074400152564319,0.005282472171527157,182.44747972488403,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha1p0/effective_config.json,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha1p0/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_d,deterministic,federated,0,0.1,rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p1,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.010568154014230648,499,0.010798260512891303,0.010568154014230648,0.010798260512891303,19820.486524105072,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p1/effective_config.json,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p1/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_d,deterministic,federated,0,0.5,rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p5,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.008921359420980341,499,0.009118816325809744,0.008921359420980341,0.009118816325809744,9797.014392375946,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p5/effective_config.json,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p5/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_d,deterministic,federated,0,1.0,rerun_protocol_v1_abs_fedogda_d_seed0_alpha1p0,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.008261736846270643,499,0.008426857583396532,0.008261736846270643,0.008426857583396532,10068.941668987274,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha1p0/effective_config.json,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha1p0/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_d,deterministic,federated,1,0.1,rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p1,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.006610643879574764,461,0.006787216707284158,0.008039674249262219,0.00839069639860278,9826.026804208755,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p1/effective_config.json,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p1/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_d,deterministic,federated,1,0.5,rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p5,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.006696059556379062,454,0.00687671717652571,0.00867735135525492,0.009072021715167732,9871.317929267883,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p5/effective_config.json,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p5/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_d,deterministic,federated,1,1.0,rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.006879913543146258,447,0.007064816588672376,0.009584682369408966,0.010036402749602586,9918.749693632126,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0/effective_config.json,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_d,deterministic,federated,2,0.1,rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p1,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.03440180386071982,499,0.0353013954127931,0.03440180386071982,0.0353013954127931,9871.326756000519,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p1/effective_config.json,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p1/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_d,deterministic,federated,2,0.5,rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p5,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.03291920524511993,499,0.03377255557952796,0.03291920524511993,0.03377255557952796,9825.55269742012,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p5/effective_config.json,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p5/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_d,deterministic,federated,2,1.0,rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.03303472107134794,499,0.03387986801465489,0.03303472107134794,0.03387986801465489,9998.811937093735,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0/effective_config.json,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_s,stochastic,federated,0,0.1,rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p1,500,3,256,0.001,0.01,1.5,10.0,0.1,1.0,0.004170564981794433,498,0.004224131604563522,0.00417281821339045,0.004232039798326876,192.96896600723267,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p1/effective_config.json,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p1/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_s,stochastic,federated,0,0.5,rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p5,500,3,256,0.001,0.01,1.5,10.0,0.1,1.0,0.006532075687872711,499,0.006701712291848975,0.006532075687872711,0.006701712291848975,194.65146684646606,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p5/effective_config.json,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p5/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_s,stochastic,federated,0,1.0,rerun_protocol_v1_abs_fedogda_s_seed0_alpha1p0,500,3,256,0.001,0.01,1.5,10.0,0.1,1.0,0.007003598829362718,499,0.007101696785203967,0.0070035988293627215,0.007101696785203967,195.64612460136414,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha1p0/effective_config.json,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha1p0/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_s,stochastic,federated,1,0.1,rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p1,500,3,256,0.001,0.01,1.5,10.0,0.1,1.0,0.0063707108276686766,415,0.006492114916789562,0.014103992039626081,0.014664088416751007,193.33798146247864,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p1/effective_config.json,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p1/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_s,stochastic,federated,1,0.5,rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p5,500,3,256,0.001,0.01,1.5,10.0,0.1,1.0,0.006828394533845636,439,0.006969377204524669,0.008621925529237691,0.008988455276731188,196.48807048797607,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p5/effective_config.json,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p5/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_s,stochastic,federated,1,1.0,rerun_protocol_v1_abs_fedogda_s_seed1_alpha1p0,500,3,256,0.001,0.01,1.5,10.0,0.1,1.0,0.006638181792948494,450,0.00678978273812457,0.011427279883128812,0.011951736101014205,193.97551321983337,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha1p0/effective_config.json,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha1p0/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_s,stochastic,federated,2,0.1,rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p1,500,3,256,0.001,0.01,1.5,10.0,0.1,1.0,0.024807159314620488,498,0.025336297087413546,0.025073277291488505,0.025622987336894797,196.0956494808197,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p1/effective_config.json,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p1/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_s,stochastic,federated,2,0.5,rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p5,500,3,256,0.001,0.01,1.5,10.0,0.1,1.0,0.03178155207732554,499,0.03241663467431333,0.031781552077325526,0.03241663467431333,193.90945672988892,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p5/effective_config.json,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p5/metrics.json
primary,rerun_protocol_v1,,abs,fedogda_s,stochastic,federated,2,1.0,rerun_protocol_v1_abs_fedogda_s_seed2_alpha1p0,500,3,256,0.001,0.01,1.5,10.0,0.1,1.0,0.033496169643517024,499,0.03441503768257774,0.033496169643517024,0.03441503768257774,197.04139280319214,False,,,,True,True,True,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha1p0/effective_config.json,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha1p0/metrics.json
primary,rerun_protocol_v1,,linear,fedgda_d,deterministic,federated,0,0.1,rerun_protocol_v1_linear_fedgda_d_seed0_alpha0p1,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.0004173573645041929,472,0.00041994293246091114,0.0010783811381165152,0.0010586869489791098,8562.851470708847,False,,,,True,True,True,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha0p1/effective_config.json,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha0p1/metrics.json
primary,rerun_protocol_v1,,linear,fedgda_d,deterministic,federated,0,0.5,rerun_protocol_v1_linear_fedgda_d_seed0_alpha0p5,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.00041743596119569207,465,0.0004200587930385307,0.001240913895332764,0.0012155682081471978,11499.074936628342,False,,,,True,True,True,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha0p5/effective_config.json,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha0p5/metrics.json
primary,rerun_protocol_v1,,linear,fedgda_d,deterministic,federated,0,1.0,rerun_protocol_v1_linear_fedgda_d_seed0_alpha1p0,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.00042038321843818424,463,0.0004227994945007816,0.0012068761264129254,0.001183338273380372,9147.388956308365,False,,,,True,True,True,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha1p0/effective_config.json,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha1p0/metrics.json
primary,rerun_protocol_v1,,linear,fedgda_d,deterministic,federated,1,0.1,rerun_protocol_v1_linear_fedgda_d_seed1_alpha0p1,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.00145816799297845,497,0.0014605749687742857,0.001616966831361432,0.0016355022140316392,8658.190840482712,False,,,,True,True,True,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha0p1/effective_config.json,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha0p1/metrics.json
primary,rerun_protocol_v1,,linear,fedgda_d,deterministic,federated,1,0.5,rerun_protocol_v1_linear_fedgda_d_seed1_alpha0p5,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.001349059493881742,490,0.0013492627216256184,0.0029820073029557925,0.003059352890417647,8731.922349214554,False,,,,True,True,True,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha0p5/effective_config.json,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha0p5/metrics.json
primary,rerun_protocol_v1,,linear,fedgda_d,deterministic,federated,1,1.0,rerun_protocol_v1_linear_fedgda_d_seed1_alpha1p0,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.0012464535657295119,488,0.0012460202309047964,0.0034580009379588878,0.003546846774105434,8859.243637561798,False,,,,True,True,True,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha1p0/effective_config.json,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha1p0/metrics.json
primary,rerun_protocol_v1,,linear,fedgda_d,deterministic,federated,2,0.1,rerun_protocol_v1_linear_fedgda_d_seed2_alpha0p1,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.01085957272302225,284,0.010981465111730988,0.011644278383909535,0.012019133074431322,8631.765193462372,False,,,,True,True,True,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha0p1/effective_config.json,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha0p1/metrics.json
primary,rerun_protocol_v1,,linear,fedgda_d,deterministic,federated,2,0.5,rerun_protocol_v1_linear_fedgda_d_seed2_alpha0p5,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.010600353296383216,499,0.010929807539069166,0.010600353296383216,0.010929807539069166,8536.291757106781,False,,,,True,True,True,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha0p5/effective_config.json,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha0p5/metrics.json
primary,rerun_protocol_v1,,linear,fedgda_d,deterministic,federated,2,1.0,rerun_protocol_v1_linear_fedgda_d_seed2_alpha1p0,500,3,0,0.001,0.01,1.5,10.0,0.1,1.0,0.010481929218808205,499,0.010804873823933555,0.010481929218808205,0.010804873823933555,8627.061374664307,False,,,,True,True,True,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha1p0/effective_config.json,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha1p0/metrics.json
primary,rerun_protocol_v1,,linear,fedgda_s,stochastic,federated,0,0.1,rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p1,500,3,256,0.003,0.03,1.5,10.0,0.03,1.0,6.481662991840837e-05,481,6.552064568177548e-05,0.0008809232219349908,0.0008994462719826203,183.01562452316284,False,,,,True,True,True,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p1/effective_config.json,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p1/metrics.json
primary,rerun_protocol_v1,,linear,fedgda_s,stochastic,federated,0,0.5,rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p5,500,3,256,0.003,0.03,1.5,10.0,0.03,1.0,0.0001655646355710424,425,0.00016656732111549775,0.002360460427699417,0.0023926975756404342,182.94684028625488,False,,,,True,True,True,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p5/effective_config.json,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p5/metrics.json
primary,rerun_protocol_v1,,linear,fedgda_s,stochastic,federated,0,1.0,rerun_protocol_v1_linear_fedgda_s_seed0_alpha1p0,500,3,256,0.003,0.03,1.5,10.0,0.03,1.0,8.541445515506145e-05,430,8.424079270976279e-05,0.004764185533900946,0.00484590422526663,184.82423734664917,False,,,,True,True,True,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha1p0/effective_config.json,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha1p0/metrics.json
