family,phase,artifact_status,dataset,method,mode,training_scope,partition_alpha,comm_round_or_iterations,local_epochs,batch_size,g_learning_rate,f_learning_rate,server_learning_rate,critic_multiplier,weight_decay,gradient_clip_norm,number_of_runs,number_of_seeds,seeds,diverged_runs,mean_best_validation_mse,std_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,std_final_validation_mse,mean_final_test_mse,std_final_test_mse,mean_runtime_seconds,std_runtime_seconds
centralized_lowdim_v1,,primary,sin,sgda,stochastic,centralized,,500,,256,0.001,0.01,,,0,1,3,3,0|1|2,0,0.10032334272538017,0.023260681276890044,0.10119913616978989,0.021933185433061424,0.11692763971004479,0.010552642133703076,0.11878371875107611,0.008241753790930534,22.583523909250896,1.8991289579799688
centralized_lowdim_v1,,primary,step,gda,deterministic,centralized,,500,,0,0.001,0.01,,,0,1,3,3,0|1|2,0,0.05766309265400918,0.03773685467033259,0.058259065152514056,0.038066131894597524,0.07127168659137786,0.0248483898402912,0.0721480196955783,0.025041270397938884,31.28275529543559,2.249572792505035
centralized_lowdim_v1,,primary,step,oadam,stochastic,centralized,,500,,256,0.001,0.01,,,0,1,3,3,0|1|2,0,0.01697256642272293,0.0004966798592754473,0.01721401417344212,0.0005727677904835276,0.022038871530897553,0.008672147749102277,0.022301023169819908,0.008773187925090844,23.282176574071247,2.0941408846759058
centralized_lowdim_v1,,primary,step,sgda,stochastic,centralized,,500,,256,0.001,0.01,,,0,1,3,3,0|1|2,0,0.057608149926962386,0.03707549470717435,0.05819961339123079,0.03743310254829286,0.07171213589158894,0.023823946664891422,0.07258976924758985,0.024086813717864627,22.023842573165894,0.6357855694484101
rerun_protocol_v1,,primary,abs,fedgda_d,deterministic,federated,0.1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.01808624748835162,0.015987995432448356,0.018548214722196466,0.016418131477688665,0.01848383430343646,0.015567390794338203,0.018997529740560352,0.015944939274564637,11740.07357120514,5650.247844395903
rerun_protocol_v1,,primary,abs,fedgda_d,deterministic,federated,0.5,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.017309465050776907,0.015593970491327434,0.017751509232719398,0.01600891273521945,0.017843121499209868,0.01506350772093222,0.01834762364130287,0.01541948322975749,8545.789139429728,59.459253337520956
rerun_protocol_v1,,primary,abs,fedgda_d,deterministic,federated,1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.01729022753409439,0.015882091522473822,0.017724719971074897,0.01630485807862013,0.018048885213870745,0.015169805594571683,0.018563704378306966,0.015522978873345618,8766.022773345312,55.61593576845625
rerun_protocol_v1,,primary,abs,fedgda_s,stochastic,federated,0.1,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.0027558836368059727,0.0030244739942792524,0.002832930944014676,0.003108586943995063,0.005446482963526104,0.002501117130490316,0.0054988109254830685,0.002555560750618085,253.60184033711752,120.30616953884383
rerun_protocol_v1,,primary,abs,fedgda_s,stochastic,federated,0.5,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.0026495178539163466,0.0032734239413694088,0.002709909146004257,0.003345629937247602,0.005024802193526919,0.0037369342135496735,0.005079136935586941,0.003777208771919626,181.3554723262787,0.3913263356050999
rerun_protocol_v1,,primary,abs,fedgda_s,stochastic,federated,1,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.0028033425613014744,0.0034380148724291715,0.002869259458590814,0.0035037754118206503,0.005697933611076428,0.0009640971726085826,0.005834931669040324,0.0010084471225656807,180.53167041142783,3.0769665375380115
rerun_protocol_v1,,primary,abs,fedogda_d,deterministic,federated,0.1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.017193533918175078,0.015033591966928352,0.017628957544322855,0.015435621570375153,0.017669877374737564,0.014545319708748231,0.018163450774762394,0.014890632997064177,13172.613361438116,5757.271594391631
rerun_protocol_v1,,primary,abs,fedogda_d,deterministic,federated,0.5,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.016178874740826445,0.014540185312319197,0.016589363027287807,0.014923248033331291,0.01683930534045173,0.013926136244204494,0.017321131206835146,0.014247370646955169,9831.29500635465,37.4831226365621
rerun_protocol_v1,,primary,abs,fedogda_d,deterministic,federated,1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.016058790486921614,0.014717813129528117,0.016457180728907932,0.015103850936450737,0.01696038009567585,0.013936494342765183,0.017447709449218002,0.014253404338973198,9995.501099904379,75.15070590115032
rerun_protocol_v1,,primary,abs,fedogda_s,stochastic,federated,0.1,500,3,256,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.011782811708027864,0.011332933572945517,0.012017514536255542,0.0115900135271667,0.014450029181501678,0.010454525512737577,0.014839705183990894,0.01069655505693974,194.13419898351034,1.7086571164510949
rerun_protocol_v1,,primary,abs,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.015047340766347962,0.014493009430927625,0.015362574723562323,0.01476985550806867,0.01564518443147864,0.014013516285761895,0.016035600747631162,0.014232392727509351,195.016331354777,1.3274625457683693
rerun_protocol_v1,,primary,abs,fedogda_s,stochastic,federated,1,500,3,256,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.01571265008860941,0.01540206344041153,0.01610217240196876,0.015860173349698664,0.01730901611866952,0.014191905895407407,0.01782282352293197,0.014572470565449375,195.55434354146323,1.5349990967852165
rerun_protocol_v1,,primary,linear,fedgda_d,deterministic,federated,0.1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.004245032693501631,0.005751949803560895,0.004287327670988729,0.005820595829931068,0.00477987545112916,0.00595084358346906,0.004904440745814024,0.006168250494318773,8617.60250155131,49.22230428215614
rerun_protocol_v1,,primary,linear,fedgda_d,deterministic,federated,0.5,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.00412228291715355,0.005629478437684366,0.004233043017911105,0.005818148010673709,0.004941091498223925,0.0049777790869619705,0.005068242879211337,0.005159296530043069,9589.096347649893,1656.9796286946896
rerun_protocol_v1,,primary,linear,fedgda_d,deterministic,federated,1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.004049588667658634,0.0055858617758713725,0.004157897849779711,0.005771147225287639,0.005048935427726673,0.004837866976234188,0.005178352957139787,0.00501396508829082,8877.89798951149,260.6648934741419
rerun_protocol_v1,,primary,linear,fedgda_s,stochastic,federated,0.1,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.0003822833279331946,0.0003560089816119281,0.0003848634155577088,0.0003572787484719044,0.009738386014442454,0.012195788232992253,0.010067186781560555,0.012565707713002206,181.8976260026296,2.783001222454081
rerun_protocol_v1,,primary,linear,fedgda_s,stochastic,federated,0.5,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.00035298375979572906,0.00017203223863457168,0.0003564817868720624,0.00017357621464781763,0.008683832079664784,0.007467464348535125,0.008845171045522076,0.007675419436918624,182.23704401652017,1.0955504722663036
rerun_protocol_v1,,primary,linear,fedgda_s,stochastic,federated,1,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.0004123056771691116,0.000283305519180565,0.0004189098879980008,0.0002910569503833135,0.007202085562702097,0.003899594144152404,0.007339972725284461,0.004022372200885159,181.00350991884866,3.8375667015997332
rerun_protocol_v1,,primary,linear,fedogda_d,deterministic,federated,0.1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.0028779754275335165,0.0039482897156573864,0.002928412704350692,0.004031865175440486,0.0032240946158070684,0.0036783191701281336,0.0032720037635397196,0.003764542135077547,9741.803642988205,72.68825373570317
rerun_protocol_v1,,primary,linear,fedogda_d,deterministic,federated,0.5,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.0027963662462899895,0.0038021908333202583,0.002840333030604299,0.0038746565973313846,0.003013254133230572,0.003623132524124116,0.003053837971847887,0.0036989794333477932,9729.207514444986,118.26543506737359
rerun_protocol_v1,,primary,linear,fedogda_d,deterministic,federated,1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.0027736693785325676,0.0037624963232913565,0.0028160473034100435,0.0038322312074160823,0.0029609807041331847,0.0036087476451912397,0.0030006598072611465,0.0036812359933616665,9708.104611873627,89.36153772341716
rerun_protocol_v1,,primary,linear,fedogda_s,stochastic,federated,0.1,500,3,256,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.0027453120589745208,0.0029097442314367284,0.0027914224837660693,0.00298998476381421,0.0031069079564947275,0.0026145076142089904,0.0031433089101009135,0.002699201756515053,194.23402746518454,3.1762718851509835
rerun_protocol_v1,,primary,linear,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.002873949963311854,0.00363879724454574,0.00293433955738258,0.0037383934865111716,0.00343057443858924,0.0031865751745067477,0.0034873923686370347,0.0032899772957645334,192.22673161824545,2.7317709470312304
rerun_protocol_v1,,primary,linear,fedogda_s,stochastic,federated,1,500,3,256,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.0025477291244151313,0.0034404233323058705,0.002578212502123741,0.0034863447796576754,0.003141927630847651,0.0029257491283320456,0.003158272766502561,0.0029832702663919533,196.11123887697855,1.3317982621901583
rerun_protocol_v1,,primary,sin,fedgda_d,deterministic,federated,0.1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.0836789125153423,0.004100222921243333,0.08615394344239924,0.004578839718412311,0.08535799534002653,0.0017597119910413028,0.08814703940154302,0.0016319215541287832,8608.129122495651,14.231993329140733
rerun_protocol_v1,,primary,sin,fedgda_d,deterministic,federated,0.5,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.08370702412267515,0.004171598131328443,0.08619614371564831,0.004639812833140593,0.08515961932605347,0.0021017142611106533,0.08794308635735959,0.002040034395618779,8608.204914967218,50.210339029378616
rerun_protocol_v1,,primary,sin,fedgda_d,deterministic,federated,1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.08362907106007396,0.004123144861075866,0.08610686290668561,0.004618223794624133,0.08510817413281353,0.002028582007494649,0.08789506957005018,0.0019683199873700616,8803.57561635971,117.46263412826855
rerun_protocol_v1,,primary,sin,fedgda_s,stochastic,federated,0.1,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.07699466831946199,0.005656870373643682,0.0787902976420925,0.005717076790216156,0.07871974696210271,0.005930965299965352,0.08048154681970794,0.005461421824325522,180.50341113408408,0.6538025927508987
rerun_protocol_v1,,primary,sin,fedgda_s,stochastic,federated,0.5,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.07630442559801574,0.005800045172071211,0.07803413463060639,0.00624312849376184,0.07938676673867966,0.0022612470559582507,0.0816332526075847,0.0018766451058180502,182.79722579320273,2.227303531557864
