dataset,method,seed,g_lr,f_lr,output_dir,status,validation_status,best_validation_round,best_validation_mse,test_mse_at_best_validation,final_test_mse,finite_history,diverged,runtime_seconds,wall_runtime_seconds,last50_validation_mse_mean,last50_validation_mse_std,last50_validation_slope,centralized_config_valid,notes
abs,gda,0,0.001,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p001_flr_0p03,completed_valid,pass,499,0.4594614632383272,0.47681153471026,0.47681153471026,True,False,186.99347496032715,188.54140520095825,0.5049951145010126,0.028103744326553416,-0.0019275240518273945,True,
abs,gda,0,0.002,0.01,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p002_flr_0p01,completed_valid,pass,326,0.3432543338034959,0.35037189350282777,0.3722385235702896,True,False,108.8625636100769,110.28672456741333,0.36707947515968836,0.004172479718512301,-0.0002858599438568324,True,
abs,gda,0,0.002,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p002_flr_0p03,completed_valid,pass,499,0.23257030102425588,0.23853900146457407,0.23853900146457407,True,False,100.37738919258118,101.81710863113403,0.2452417998990588,0.007554058213844787,-0.0005181073676699634,True,
abs,gda,0,0.005,0.01,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p005_flr_0p01,completed_valid,pass,374,0.291750951825973,0.29878025125769875,0.3133172637242501,True,False,101.14184331893921,102.60029101371765,0.33662651846246494,0.010863689621937064,-0.0007031498825845445,True,
abs,gda,0,0.005,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p005_flr_0p03,completed_valid,pass,499,0.05302576367829993,0.054314857088677705,0.054314857088677705,True,False,102.57512831687927,104.09718585014343,0.06706372183749904,0.00869396601381476,-0.0005961042421061219,True,
abs,sgda,0,0.001,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p001_flr_0p03,completed_valid,pass,499,0.45632566270552216,0.47348484122033924,0.47348484122033924,True,False,71.02874946594238,72.56115984916687,0.501141660635421,0.028681298533727903,-0.001966628283902448,True,
abs,sgda,0,0.002,0.01,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p002_flr_0p01,completed_valid,pass,327,0.34141171008493587,0.3483727601882681,0.3647563198231664,True,False,79.32969880104065,80.86882877349854,0.3617333426417488,0.005599303404463843,-0.00038283046961219453,True,
abs,sgda,0,0.002,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p002_flr_0p03,completed_valid,pass,499,0.2289706860771763,0.23457690770327386,0.23457690770327386,True,False,69.11074948310852,70.6360878944397,0.24278246733366693,0.008215080888763594,-0.0005609878871153951,True,
abs,sgda,0,0.005,0.01,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p005_flr_0p01,completed_valid,pass,376,0.29464732891052037,0.30191383817169815,0.3054904323997099,True,False,59.33615159988403,60.86793518066406,0.31850624321909904,0.005310915702689329,-0.0003214259127689444,True,
abs,sgda,0,0.005,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p005_flr_0p03,completed_valid,pass,499,0.050380845932419975,0.05147121728718953,0.05147121728718953,True,False,77.65493202209473,79.09112596511841,0.06482311053223355,0.009045311892522365,-0.0006184007554681017,True,
step,gda,0,0.001,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/gda/seed_0/glr_0p001_flr_0p03,completed_valid,pass,499,0.08954183956304662,0.09061435418003529,0.09061435418003529,True,False,118.0921700000763,119.60974073410034,0.11134719605834845,0.013916010538992165,-0.0009532700508385554,True,
step,gda,0,0.002,0.01,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/gda/seed_0/glr_0p002_flr_0p01,completed_valid,pass,286,0.058687260310526526,0.05886856537455003,0.08791839623799273,True,False,159.7633454799652,161.30249691009521,0.07893675485314364,0.004066803838972684,0.0002687744421614516,True,
step,gda,0,0.002,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/gda/seed_0/glr_0p002_flr_0p03,completed_valid,pass,347,0.04994864171735635,0.05021967337183124,0.06139406724636595,True,False,166.78615021705627,168.24859929084778,0.07255568050354054,0.006283818381968902,-0.00042906865749663933,True,
step,gda,0,0.005,0.01,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/gda/seed_0/glr_0p005_flr_0p01,completed_valid,pass,451,0.04808343360907429,0.048441317593093385,0.1263665446168391,True,False,110.32291841506958,111.76357746124268,0.08417240871813958,0.027520562726176662,0.0018737271427066605,True,
