dataset,method,seed,output_dir,status,validation_status,best_validation_round,best_validation_mse,test_mse_at_best_validation,final_train_mse,final_val_mse,final_test_mse,diverged,finite_history,runtime_seconds,wall_runtime_seconds,notes
linear,oadam,2,results/centralized_lowdim_v1/linear/oadam/seed_2,completed_valid,pass,414,0.00141896052137459,0.0014543578255949284,0.008230206749087025,0.008226548798930599,0.00839947465908146,False,True,21.59378457069397,23.02146005630493,OAdam/PyTorch deprecation warning in run log
sin,gda,0,results/centralized_lowdim_v1/sin/gda/seed_0,completed_valid,pass,499,0.12718338261990475,0.1267199772525377,0.12822015259166908,0.12718338261990475,0.1267199772525377,False,True,33.79173469543457,35.22900867462158,
sin,gda,1,results/centralized_lowdim_v1/sin/gda/seed_1,completed_valid,pass,288,0.0908438636176544,0.09126717923584174,0.12245468743709643,0.11897761672623837,0.1207480899856818,False,True,29.32490611076355,30.844105005264282,
sin,gda,2,results/centralized_lowdim_v1/sin/gda/seed_2,completed_valid,pass,208,0.08270152205458578,0.08542069344278429,0.10864898914310975,0.1048064048013089,0.10901802590546295,False,True,30.43090581893921,31.950235843658447,
sin,sgda,0,results/centralized_lowdim_v1/sin/sgda/seed_0,completed_valid,pass,499,0.1266432717007928,0.1262000032522723,0.12769786514747303,0.1266432717007928,0.1262000032522723,False,True,24.761783123016357,26.182429313659668,
sin,sgda,1,results/centralized_lowdim_v1/sin/sgda/seed_1,completed_valid,pass,288,0.0918007586956468,0.09220328635334309,0.12192056498264321,0.11843874256069725,0.12024041422283735,False,True,21.71366786956787,23.132211923599243,
sin,sgda,2,results/centralized_lowdim_v1/sin/sgda/seed_2,completed_valid,pass,206,0.0825259977797009,0.08519411890375429,0.10956068967798449,0.10570090486864434,0.1099107387781187,False,True,21.275120735168457,22.785818099975586,
sin,oadam,0,results/centralized_lowdim_v1/sin/oadam/seed_0,completed_valid,pass,499,0.040151246673851296,0.04136998921084803,0.041210510230436356,0.040151246673851296,0.04136998921084803,False,True,21.49788475036621,23.027606964111328,OAdam/PyTorch deprecation warning in run log
sin,oadam,1,results/centralized_lowdim_v1/sin/oadam/seed_1,completed_valid,pass,498,0.033902544024302116,0.03458292035956873,0.034943606576194775,0.034170298085305736,0.03504909269508951,False,True,22.856196403503418,24.257725477218628,OAdam/PyTorch deprecation warning in run log
sin,oadam,2,results/centralized_lowdim_v1/sin/oadam/seed_2,completed_valid,pass,495,0.03633342841104923,0.037075447951065,0.04827656356016446,0.04699258565565941,0.04795475344200251,False,True,21.46449041366577,22.87540078163147,OAdam/PyTorch deprecation warning in run log
