dataset,method,seeds_included,number_of_seeds,g_lr,f_lr,mean_best_validation_mse,std_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_test_mse,std_final_test_mse,mean_runtime_seconds,best_at_final_count,mean_last50_validation_slope,c3_mean_test_mse_at_best_validation,c5_relative_test_improvement_pct,c3_mean_best_validation_mse,c5_relative_validation_improvement_pct,improved_over_c3_test,improved_over_c3_validation
abs,gda,0 1 2,3,0.005,0.03,0.0545191278692355,0.051077583223162845,0.05616898050617301,0.05276397493708194,0.05616898050617301,0.05276397493708194,223.95533299446106,3,-0.0003870728982125934,0.30520332523258303,81.59620952249819,0.2965948286286917,81.61831474901128,True,True
abs,sgda,0 1 2,3,0.005,0.03,0.05466155215936746,0.053434003678089224,0.056258241355683976,0.055192725578154224,0.056258241355683976,0.055192725578154224,192.94162607192993,3,-0.0003801920203238538,0.3039306732262,81.48977832394894,0.29541199091989007,81.4965018890548,True,True
step,gda,0 1 2,3,0.005,0.03,0.03183287217251121,0.005533615028649943,0.03219186363185582,0.0054239094783926686,0.03489469083008414,0.006435643095935703,198.60373282432556,1,-2.1630234822985954e-05,0.058259065152514056,44.7435973310213,0.05766309265400918,44.79506612051626,True,True
step,sgda,0 1 2,3,0.005,0.03,0.0315825478173455,0.005820409633211216,0.0319682203688549,0.00573631565472241,0.0368767038704661,0.010660438880991755,157.73026959101358,1,3.337697228037117e-05,0.058199613391230795,45.07142143031538,0.05760814992696238,45.1769448291831,True,True
linear,gda,0 1 2,3,0.005,0.03,0.009346491629144289,0.007451714752050732,0.009543762701698218,0.007616656232712826,0.05131445401755376,0.025785424184666728,149.7816694577535,0,0.00054290158771318,0.08439628361658941,88.69172635011356,0.08211761970371394,88.61816542799575,True,True
linear,sgda,0 1 2,3,0.005,0.03,0.007804446485903999,0.0057662548498484826,0.007997298100588624,0.0059314515538411135,0.05796721115989403,0.03738642504646725,92.81356294949849,0,0.000611011247652525,0.08574717921454679,90.67339803612818,0.08342734315831304,90.64521751448544,True,True
sin,gda,0 1 2,3,0.005,0.03,0.08554771523196064,0.007217326606439634,0.08711736474267472,0.006988193493012041,0.08942633996756888,0.008237534170754752,236.4934782187144,0,2.851794197786682e-05,0.10113594997705458,13.861129734343086,0.10024292276404831,14.65959603619822,True,True
sin,sgda,0 1 2,3,0.005,0.03,0.08602198127613604,0.007369537269582322,0.08767995029722883,0.007203532565053866,0.09260858213004286,0.010059475640667987,142.42282406489053,0,8.948767235341878e-05,0.10119913616978989,13.358993351365012,0.10032334272538017,14.25526807693392,True,True
