phase,run_id,dataset,method,seed,completed_rounds,wall_seconds,seconds_per_round,training_loop_seconds_per_round,rounds_per_second_wall,rounds_per_second_training_loop,cpu_seconds_total,cpu_util_pct,gpu_avg_pct,gpu_max_pct,gpu_mem_avg_mb,gpu_mem_max_mb,gpu_power_avg_w,gpu_power_max_w,explained_fraction,data_load,model_selection,round_total,client_train_gmm,client_train_reg,client_train_reg_skipped,aggregate_reg,aggregate_reg_skipped,eval_global_model,write_mse_by_round,projected_1500_seconds,best_validation_mse,best_validation_round,test_mse_at_best_validation,final_validation_mse,final_test_mse,diverged,cuda_visible_devices,nvidia_visible_devices,cuda_available,cuda_device_count,cuda_current_device,cuda_current_device_name,skip_aux_reg,skip_model_selection,skip_gmm_eval,gmm_eval_proxy,auxiliary_regression,auxiliary_regression_epochs,append_round_csv,periodic_checkpoint_interval,dataloader_num_workers,dataloader_pin_memory
auxreg_skip50,auxreg_skip50_highdim_abs_cifar10_x_fedgda_s_seed0_alpha1_rounds50,cifar10_x,fedgda_s,0,50,205.28070597583428,4.1056141195166855,0.966521065258421,0.24356892072402567,1.034638598107148,224.63528491600002,109.42834780704824,44.94845360824742,100.0,4021.935567010309,8677.0,124.11489690721652,253.69,1.0,0.7636430838610977,154.648732785834,48.32605326292105,9.005033480236307,,0.0,,0.0,19.89914034702815,0.018212091410532594,1606.7362506005447,0.1517661718697367,11,0.15254380501636403,0.5267478692947212,0.5139006640398378,False,"0,1,2,3",0,True,2,0,NVIDIA H100 NVL,1,,,,,,,,,
baseline50,baseline50_highdim_abs_cifar10_x_fedgda_s_seed0_alpha1_rounds50,cifar10_x,fedgda_s,0,50,203.7411375339143,4.074822750678286,1.8735749642876909,0.245409447523464,0.5337389851279247,1844.789764437,905.4576737748508,37.471354166666664,100.0,8325.2578125,17807.0,120.88460937499993,229.15,1.0,0.6437238729558885,107.98667196603492,93.67874821438454,9.953711719950661,31.749108543852344,,6.775921174092218,,17.546912134392187,0.01979531766846776,2920.424835751066,0.14862892587436377,11,0.14916229510146842,0.5348125711056844,0.5173624018112595,False,"0,1,2,3",0,True,2,0,NVIDIA H100 NVL,,,,,,,,,,
baseline50,baseline50_highdim_abs_cifar10_x_fedogda_s_seed0_alpha1_rounds50,cifar10_x,fedogda_s,0,50,207.7459317499306,4.154918634998612,1.9371457341872156,0.24067859995538374,0.5162234220955907,1835.349027769,883.4584688658354,35.784615384615385,100.0,8885.235897435898,18929.0,121.42584615384618,229.16,1.0,0.5934172228444368,108.9064413968008,96.85728670936078,10.180662244791165,31.65088838315569,,7.632733207195997,,19.09236678131856,0.018878820119425654,3016.607246321393,0.15501806137886662,33,0.15510351310079767,0.16987910531284775,0.16941004273612376,False,"0,1,2,3",0,True,2,0,NVIDIA H100 NVL,,,,,,,,,,
baseline50,baseline50_highdim_abs_cifar10_xz_fedgda_s_seed0_alpha1_rounds50,cifar10_xz,fedgda_s,0,50,334.56895087403245,6.691379017480649,2.600622400455177,0.14944602560811254,0.3845233355772733,1967.714878153,588.1343361398345,39.915335463258785,100.0,10205.047923322683,21857.0,124.38771565495209,281.05,1.0,1.1251624110154808,201.98057310003787,130.03112002275884,12.833882918115705,30.669117846060544,,8.038918662583455,,31.49700341396965,0.03254512068815529,4105.471431534039,0.2018371706165433,9,0.20767078364902555,0.30477886377282326,0.297070500472849,False,"0,1,2,3",0,True,2,0,NVIDIA H100 NVL,,,,,,,,,,
baseline50,baseline50_highdim_abs_cifar10_xz_fedogda_s_seed0_alpha1_rounds50,cifar10_xz,fedogda_s,0,50,339.8669837547932,6.797339675095864,2.6272365346876905,0.14711637902454786,0.38062808079778543,1981.851611052,583.1256655638736,39.5125,100.0,11057.9359375,24171.0,124.6413750000002,281.41,1.0,1.2320534910541028,205.84440906601958,131.36182673438452,14.175961687695235,33.17332192836329,,7.739805265562609,,31.31814317055978,0.030770097626373172,4149.359959051944,0.1750329917291134,24,0.1755991347155598,0.5065969331999708,0.5087901518353003,False,"0,1,2,3",0,True,2,0,NVIDIA H100 NVL,,,,,,,,,,
baseline50,baseline50_highdim_abs_cifar10_z_fedgda_s_seed0_alpha1_rounds50,cifar10_z,fedgda_s,0,50,168.5440953169018,3.370881906338036,1.1694522374588996,0.2966582715697543,0.8551011900861364,169.429867636,100.52554337037603,40.509433962264154,100.0,11027.32075471698,22601.0,124.87433962264149,229.34,1.0,0.6577994448598474,108.79614982684143,58.47261187294498,9.866883766837418,10.178866774309427,,0.00806721905246377,,19.258600782137364,0.0279897500295192,1864.2498396323062,0.23490282824406664,7,0.23477064760008137,0.4024172131755748,0.4067862930546052,False,"0,1,2,3",0,True,2,0,NVIDIA H100 NVL,,,,,,,,,,
baseline50,baseline50_highdim_abs_cifar10_z_fedogda_s_seed0_alpha1_rounds50,cifar10_z,fedogda_s,0,50,167.3488573981449,3.346977147962898,1.1326600665738806,0.2987770623437448,0.8828774223716066,170.094102175,101.64043233968654,41.39873417721519,100.0,11478.927215189873,23491.0,125.19490506329106,231.52,1.0,0.8466763808391988,109.15280205383897,56.63300332869403,9.30975557747297,9.03964458196424,,0.007682217052206397,,19.403892653994262,0.035736908204853535,1809.7059539302718,0.23483236633236484,27,0.23456297947758836,0.2919939588384535,0.28582686194632934,False,"0,1,2,3",0,True,2,0,NVIDIA H100 NVL,,,,,,,,,,
optimized5_smoke,optimized5_smoke_highdim_abs_cifar10_x_fedgda_s_seed0_alpha1_rounds5,cifar10_x,fedgda_s,0,5,4.640542499953881,0.9281084999907762,0.5585952805820853,1.0774602323003597,1.7902048849355623,9.551382983,205.82470655305764,34.1,99.0,10075.6,21399.0,136.94,277.39,1.0,0.5293180930893868,,2.7929764029104263,1.0842400069814175,,0.0,,0.0,1.5517225114163011,0.0005459967069327831,839.7404869701714,0.21747473001162257,4,0.222186814117216,0.21747473001162257,0.222186814117216,False,"0,1,2,3",0,True,2,0,NVIDIA H100 NVL,1,True,True,negative_val_mse,False,0,True,0,0,False
