alpha,dataset,method,seed,run_id,result_dir,source,method_label,round_rows,comm_round,client_num_in_total,client_num_per_round,epochs,batch_size,learning_rate,weight_decay,critic_multiplier,server_learning_rate,gradient_clip_norm,best_validation_mse,best_validation_round,test_mse_at_best_validation,final_test_mse,runtime_seconds,append_round_csv,skip_model_selection,skip_gmm_eval,auxiliary_regression,auxiliary_regression_epochs,periodic_checkpoint_interval,test_mse_used_for_selection
0.1,cifar10_xz,fedgda_s,2,highdim_abs_cifar10_xz_fedgda_s_seed2_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_2/highdim_abs_cifar10_xz_fedgda_s_seed2_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.15867018701906427,9,0.16158523165882033,0.8452278190365198,1332.1062815189362,True,False,False,True,3,200,False
0.1,cifar10_xz,fedgda_s,3,highdim_abs_cifar10_xz_fedgda_s_seed3_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_3/highdim_abs_cifar10_xz_fedgda_s_seed3_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.15911145340049257,10,0.16215902175532268,1.4900397506042558,1361.1407799720764,True,False,False,True,3,200,False
0.1,cifar10_xz,fedgda_s,4,highdim_abs_cifar10_xz_fedgda_s_seed4_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_4/highdim_abs_cifar10_xz_fedgda_s_seed4_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.1639974376459015,11,0.16869523536027717,1.5250665729156345,1354.7981116771698,True,False,False,True,3,200,False
0.1,cifar10_xz,fedogda_s,0,highdim_abs_cifar10_xz_fedogda_s_seed0_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_0/highdim_abs_cifar10_xz_fedogda_s_seed0_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.16841876302052225,24,0.16811955313312857,0.796624017632851,1326.431544303894,True,False,False,True,3,200,False
0.1,cifar10_xz,fedogda_s,1,highdim_abs_cifar10_xz_fedogda_s_seed1_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_1/highdim_abs_cifar10_xz_fedogda_s_seed1_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.14520892209733624,22,0.149593388441428,1.6227674981559832,1348.554753780365,True,False,False,True,3,200,False
0.1,cifar10_xz,fedogda_s,2,highdim_abs_cifar10_xz_fedogda_s_seed2_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_2/highdim_abs_cifar10_xz_fedogda_s_seed2_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.16667688572827413,13,0.17207383586145575,0.5938406193584997,1395.9461026191711,True,False,False,True,3,200,False
0.1,cifar10_xz,fedogda_s,3,highdim_abs_cifar10_xz_fedogda_s_seed3_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_3/highdim_abs_cifar10_xz_fedogda_s_seed3_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.16427183517030128,14,0.16850546277352024,0.626069204188326,1363.0006113052368,True,False,False,True,3,200,False
0.1,cifar10_xz,fedogda_s,4,highdim_abs_cifar10_xz_fedogda_s_seed4_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_4/highdim_abs_cifar10_xz_fedogda_s_seed4_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.1479593496197318,21,0.15198299662559292,0.5663558159283575,1389.633796453476,True,False,False,True,3,200,False
0.1,cifar10_z,fedgda_s,0,highdim_abs_cifar10_z_fedgda_s_seed0_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_0/highdim_abs_cifar10_z_fedgda_s_seed0_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.03394133418762315,604,0.034415357912972476,0.2400260298904489,742.9348275661469,True,False,False,True,3,200,False
0.1,cifar10_z,fedgda_s,1,highdim_abs_cifar10_z_fedgda_s_seed1_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_1/highdim_abs_cifar10_z_fedgda_s_seed1_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.030369840887110144,859,0.03034811884832764,0.25777630687779646,769.5986120700836,True,False,False,True,3,200,False
0.1,cifar10_z,fedgda_s,2,highdim_abs_cifar10_z_fedgda_s_seed2_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_2/highdim_abs_cifar10_z_fedgda_s_seed2_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.06385470608925892,539,0.06457026532239901,0.13972404628799776,773.4003331661224,True,False,False,True,3,200,False
