run_id,dataset,dataset_label,variant,method,method_family,mode,seed,partition_alpha,client_num_in_total,client_num_per_round,batch_size,comm_rounds,local_epochs,g_lr,f_lr,critic_multiplier,server_lr,weight_decay,best_validation_round,best_validation_mse,test_mse_at_best_validation,final_validation_mse,final_test_mse,diverged,finite_history,history_round_count,last50_validation_mse_mean,last50_validation_mse_std,last50_validation_mse_min,last50_validation_mse_max,last50_validation_mse_range,last50_validation_mse_cv,stable_validation_cv_le_0p05,stable_validation_range_le_1e_4,mse_by_round_columns,per_round_test_mse_column,has_per_round_test_mse,predictions_npz_exists,periodic_checkpoint_rounds,tail_start_round,last50_available_checkpoint_rounds_upper_bound,last50_available_checkpoint_count_upper_bound,last50_has_full_round_checkpoints,result_dir
rerun_protocol_v1_sin_fedgda_d_seed2_alpha0p5,sin,sine,fedgda_d,fedgda_d,FedGDA,deterministic,2,0.5,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,479,0.08433093460931113,0.087322463559006,0.08441835053934893,0.08749743162672868,False,True,500,0.08437588428047185,4.173352958040272e-05,0.08433093460931113,0.08447970391647203,0.00014876930716090087,0.0004946144261039955,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,479|499,2,False,results/rerun_protocol_v1/sin/fedgda_d/seed_2/rerun_protocol_v1_sin_fedgda_d_seed2_alpha0p5
rerun_protocol_v1_sin_fedogda_d_seed2_alpha0p5,sin,sine,fedogda_d,fedogda_d,FedOGDA,deterministic,2,0.5,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,462,0.08444139496145704,0.0874631918214393,0.08471435218295134,0.08788789721000381,False,True,500,0.08451416183253731,8.177877530090803e-05,0.08444139496145704,0.08471435218295134,0.00027295722149429935,0.0009676339861590371,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,462|499,2,False,results/rerun_protocol_v1/sin/fedogda_d/seed_2/rerun_protocol_v1_sin_fedogda_d_seed2_alpha0p5
rerun_protocol_v1_sin_fedgda_d_seed0_alpha1p0,sin,sine,fedgda_d,fedgda_d,FedGDA,deterministic,0,1.0,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,499,0.08740836518316018,0.09006007294607915,0.08740836518316018,0.09006007294607915,False,True,500,0.08751719650660919,5.4532654317665275e-05,0.08740836518316018,0.08759320152983167,0.00018483634667149085,0.0006231078747311911,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedgda_d/seed_0/rerun_protocol_v1_sin_fedgda_d_seed0_alpha1p0
rerun_protocol_v1_sin_fedogda_d_seed0_alpha1p0,sin,sine,fedogda_d,fedogda_d,FedOGDA,deterministic,0,1.0,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,499,0.08735097949341533,0.08999488680650702,0.08735097949341533,0.08999488680650702,False,True,500,0.08753129898903951,0.00010069236272778164,0.08735097949341533,0.08769131999916728,0.00034034050575194874,0.0011503583734132647,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedogda_d/seed_0/rerun_protocol_v1_sin_fedogda_d_seed0_alpha1p0
rerun_protocol_v1_sin_fedgda_d_seed1_alpha1p0,sin,sine,fedgda_d,fedgda_d,FedGDA,deterministic,1,1.0,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,168,0.07923183043221657,0.08103072747004482,0.08357469132295287,0.08621352376094123,False,True,500,0.08467679962712435,0.00048384374393709164,0.08357469132295287,0.08522883842780082,0.0016541471048479583,0.005714006033148458,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedgda_d/seed_1/rerun_protocol_v1_sin_fedgda_d_seed1_alpha1p0
rerun_protocol_v1_sin_fedogda_d_seed1_alpha1p0,sin,sine,fedogda_d,fedogda_d,FedOGDA,deterministic,1,1.0,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,111,0.07912375086577668,0.08107782502352026,0.08334920464680197,0.0859740048615439,False,True,500,0.08369144950792444,0.0001827202662541091,0.08334920464680197,0.08389375635086746,0.0005445517040654907,0.0021832608627098517,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedogda_d/seed_1/rerun_protocol_v1_sin_fedogda_d_seed1_alpha1p0
rerun_protocol_v1_sin_fedgda_d_seed2_alpha1p0,sin,sine,fedgda_d,fedgda_d,FedGDA,deterministic,2,1.0,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,478,0.08424701756484515,0.08722978830393281,0.08434146589232759,0.08741161200313015,False,True,500,0.0842894579152037,3.834561136824686e-05,0.08424701756484515,0.08438220990977978,0.00013519234493462873,0.00045492772544370905,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,478|499,2,False,results/rerun_protocol_v1/sin/fedgda_d/seed_2/rerun_protocol_v1_sin_fedgda_d_seed2_alpha1p0
rerun_protocol_v1_sin_fedogda_d_seed2_alpha1p0,sin,sine,fedogda_d,fedogda_d,FedOGDA,deterministic,2,1.0,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,460,0.08437636300308396,0.08739504062255427,0.08466394580628561,0.08783426388665472,False,True,500,0.08445624293485787,8.754715656124566e-05,0.08437636300308396,0.08466394580628561,0.0002875828032016525,0.0010365978111147077,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,460|499,2,False,results/rerun_protocol_v1/sin/fedogda_d/seed_2/rerun_protocol_v1_sin_fedogda_d_seed2_alpha1p0
rerun_protocol_v1_sin_fedgda_s_seed0_alpha0p1,sin,sine,fedgda_s,fedgda_s,FedGDA,stochastic,0,0.1,1000,10,256,500,3,0.003,0.03,10.0,1.5,0.03,469,0.08189453964122478,0.0837320533183688,0.08332989461805268,0.08456007782288795,False,True,500,0.08399870015031462,0.0019336355105426851,0.08189453964122478,0.08988423375591964,0.007989694114694856,0.023019826581631247,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,469|499,2,False,results/rerun_protocol_v1/sin/fedgda_s/seed_0/rerun_protocol_v1_sin_fedgda_s_seed0_alpha0p1
rerun_protocol_v1_sin_fedogda_s_seed0_alpha0p1,sin,sine,fedogda_s,fedogda_s,FedOGDA,stochastic,0,0.1,1000,10,256,500,3,0.001,0.01,10.0,1.5,0.1,402,0.08732176614876729,0.09010945455345735,0.09023609286653238,0.09339011742078997,False,True,500,0.0917836698906203,0.0014242492320834645,0.0894269616964798,0.09414827002505369,0.004721308328573884,0.015517457885272614,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedogda_s/seed_0/rerun_protocol_v1_sin_fedogda_s_seed0_alpha0p1
