dataset_label,dataset,mode,alpha,seed,fedgda_run_id,fedogda_run_id,fedgda_variant,fedogda_variant,fedgda_test_mse_at_best_validation,fedogda_test_mse_at_best_validation,absolute_gap,relative_gap_pct,winner,fedgda_final_test_mse,fedogda_final_test_mse,final_test_absolute_gap,final_test_winner,fedgda_best_validation_mse,fedogda_best_validation_mse,best_validation_absolute_gap,fedogda_lower_best_validation_mse,fedgda_last50_validation_mse_mean,fedogda_last50_validation_mse_mean,last50_validation_mean_gap,fedgda_last50_validation_mse_std,fedogda_last50_validation_mse_std,last50_validation_std_gap,fedogda_lower_last50_validation_std,fedgda_last50_validation_mse_cv,fedogda_last50_validation_mse_cv,last50_validation_cv_gap,fedogda_lower_last50_validation_cv,has_per_round_test_mse_pair,matched_comm_rounds,matched_local_epochs,matched_client_policy
sine,sin,deterministic,0.1,0,rerun_protocol_v1_sin_fedgda_d_seed0_alpha0p1,rerun_protocol_v1_sin_fedogda_d_seed0_alpha0p1,fedgda_d,fedogda_d,0.09000987619326388,0.08992452977277386,-8.534642049001784e-05,-0.09481895109684081,FedOGDA,0.09000987619326388,0.08992452977277386,-8.534642049001784e-05,FedOGDA,0.08738817487127391,0.087306127358294,-8.204751297991031e-05,True,0.08745892265344171,0.08743078519980402,-2.8137453637694376e-05,3.25380246805719e-05,6.773527516022563e-05,3.519725047965373e-05,False,0.0003720377943540956,0.0007747302624062155,0.0004026924680521199,False,False,True,True,True
sine,sin,deterministic,0.1,1,rerun_protocol_v1_sin_fedgda_d_seed1_alpha0p1,rerun_protocol_v1_sin_fedogda_d_seed1_alpha0p1,fedgda_d,fedogda_d,0.08109314924971982,0.08121494249418329,0.00012179324446347228,0.15018931388201462,FedGDA,0.08696955744806288,0.08620707692500745,-0.0007624805230554282,FedOGDA,0.07927617270840466,0.0792182448861643,-5.792782224035842e-05,True,0.08499587081790189,0.08391492964129015,-0.001080941176611741,0.0005029401489377794,0.00015559984298463544,-0.000347340305953144,True,0.005917230379523917,0.0018542569677383474,-0.00406297341178557,True,False,True,True,True
sine,sin,deterministic,0.1,2,rerun_protocol_v1_sin_fedgda_d_seed2_alpha0p1,rerun_protocol_v1_sin_fedogda_d_seed2_alpha0p1,fedgda_d,fedogda_d,0.087358804884214,0.0874952918880233,0.0001364870038092908,0.15623726078921485,FedGDA,0.08746168456330232,0.08778571162322724,0.00032402705992491676,FedGDA,0.08437238996634831,0.08447835016454014,0.00010596019819182623,False,0.08443539761489484,0.0845224862415388,8.7088626643958e-05,6.532104777642947e-05,4.5651654933725925e-05,-1.966939284270354e-05,True,0.0007736216044644586,0.0005401125423980998,-0.0002335090620663588,True,False,True,True,True
sine,sin,deterministic,0.5,0,rerun_protocol_v1_sin_fedgda_d_seed0_alpha0p5,rerun_protocol_v1_sin_fedogda_d_seed0_alpha0p5,fedgda_d,fedogda_d,0.0901691072308283,0.09017894773973445,9.840508906150403e-06,0.010913392855226129,FedGDA,0.0901691072308283,0.09017894773973445,9.840508906150403e-06,FedGDA,0.08753152663301575,0.08755181865759408,2.029202457833057e-05,False,0.08763333603050528,0.08770117136906369,6.783533855840573e-05,5.029402351217446e-05,7.844498233521034e-05,2.8150958823035874e-05,False,0.000573914286392875,0.0008944576350650837,0.0003205433486722087,False,False,True,True,True
sine,sin,deterministic,0.5,1,rerun_protocol_v1_sin_fedgda_d_seed1_alpha0p5,rerun_protocol_v1_sin_fedogda_d_seed1_alpha0p5,fedgda_d,fedogda_d,0.0810968603571106,0.0811763438678972,7.948351078659877e-05,0.09801058935770456,FedGDA,0.08616272021452176,0.08589379965248956,-0.0002689205620322044,FedOGDA,0.07925861112569858,0.07918327423663558,-7.533688906299907e-05,True,0.08454783845547663,0.08362004008725274,-0.0009277983682238894,0.00045115935779719527,0.0001770668228655592,-0.0002740925349316361,True,0.005336143017243171,0.0021175165986622355,-0.0032186264185809356,True,False,True,True,True
sine,sin,deterministic,0.5,2,rerun_protocol_v1_sin_fedgda_d_seed2_alpha0p5,rerun_protocol_v1_sin_fedogda_d_seed2_alpha0p5,fedgda_d,fedogda_d,0.087322463559006,0.0874631918214393,0.00014072826243330394,0.16115929017303812,FedGDA,0.08749743162672868,0.08788789721000381,0.00039046558327512915,FedGDA,0.08433093460931113,0.08444139496145704,0.00011046035214591632,False,0.08437588428047185,0.08451416183253731,0.000138277552065455,4.173352958040272e-05,8.177877530090803e-05,4.004524572050531e-05,False,0.0004946144261039955,0.0009676339861590371,0.0004730195600550416,False,False,True,True,True
sine,sin,deterministic,1.0,0,rerun_protocol_v1_sin_fedgda_d_seed0_alpha1p0,rerun_protocol_v1_sin_fedogda_d_seed0_alpha1p0,fedgda_d,fedogda_d,0.09006007294607915,0.08999488680650702,-6.518613957212649e-05,-0.07238073148259029,FedOGDA,0.09006007294607915,0.08999488680650702,-6.518613957212649e-05,FedOGDA,0.08740836518316018,0.08735097949341533,-5.738568974485159e-05,True,0.08751719650660919,0.08753129898903951,1.4102482430319863e-05,5.4532654317665275e-05,0.00010069236272778164,4.6159708410116365e-05,False,0.0006231078747311911,0.0011503583734132647,0.0005272504986820735,False,False,True,True,True
sine,sin,deterministic,1.0,1,rerun_protocol_v1_sin_fedgda_d_seed1_alpha1p0,rerun_protocol_v1_sin_fedogda_d_seed1_alpha1p0,fedgda_d,fedogda_d,0.08103072747004482,0.08107782502352026,4.709755347544198e-05,0.0581230786714248,FedGDA,0.08621352376094123,0.0859740048615439,-0.0002395188993973285,FedOGDA,0.07923183043221657,0.07912375086577668,-0.00010807956643989203,True,0.08467679962712435,0.08369144950792444,-0.0009853501191999098,0.00048384374393709164,0.0001827202662541091,-0.0003011234776829825,True,0.005714006033148458,0.0021832608627098517,-0.003530745170438606,True,False,True,True,True
sine,sin,deterministic,1.0,2,rerun_protocol_v1_sin_fedgda_d_seed2_alpha1p0,rerun_protocol_v1_sin_fedogda_d_seed2_alpha1p0,fedgda_d,fedogda_d,0.08722978830393281,0.08739504062255427,0.0001652523186214533,0.1894448236486237,FedGDA,0.08741161200313015,0.08783426388665472,0.00042265188352456906,FedGDA,0.08424701756484515,0.08437636300308396,0.00012934543823880928,False,0.0842894579152037,0.08445624293485787,0.0001667850196541698,3.834561136824686e-05,8.754715656124566e-05,4.9201545192998805e-05,False,0.00045492772544370905,0.0010365978111147077,0.0005816700856709987,False,False,True,True,True
sine,sin,stochastic,0.1,0,rerun_protocol_v1_sin_fedgda_s_seed0_alpha0p1,rerun_protocol_v1_sin_fedogda_s_seed0_alpha0p1,fedgda_s,fedogda_s,0.0837320533183688,0.09010945455345735,0.006377401235088551,7.616439562087631,FedGDA,0.08456007782288795,0.09339011742078997,0.008830039597902017,FedGDA,0.08189453964122478,0.08732176614876729,0.005427226507542501,False,0.08399870015031462,0.0917836698906203,0.0077849697403056806,0.0019336355105426851,0.0014242492320834645,-0.0005093862784592207,True,0.023019826581631247,0.015517457885272614,-0.007502368696358633,True,False,True,True,True
sine,sin,stochastic,0.1,1,rerun_protocol_v1_sin_fedgda_s_seed1_alpha0p1,rerun_protocol_v1_sin_fedogda_s_seed1_alpha0p1,fedgda_s,fedogda_s,0.07252873976572619,0.08011050574834426,0.0075817659826180744,10.453464388196739,FedGDA,0.07427679011235436,0.08786917987176532,0.013592389759410961,FedGDA,0.07080392683672448,0.07867262636737331,0.007868699530648823,False,0.07592547100369665,0.08711784955367749,0.011192378549980841,0.0039638847670690905,0.0009072239881239407,-0.00305666077894515,True,0.052207575595758865,0.010413755536572979,-0.04179382005918589,True,False,True,True,True
