seed,alpha,T,R,fedgda_test_mse_at_best_validation,fedogda_test_mse_at_best_validation,absolute_gap,relative_gap_pct,winner,fedgda_final_test_mse,fedogda_final_test_mse,fedgda_last50_test_mse_mean,fedogda_last50_test_mse_mean
0,1.0,500,3,0.09006007294607915,0.08321021932625397,-0.00684985361982518,-7.605871720675077,FedOGDA-D,0.09006007294607915,0.08321021932625397,,0.08390051439266659
1,1.0,500,3,0.08103072747004482,0.07464631151131235,-0.006384415958732473,-7.879006098140539,FedOGDA-D,0.08621352376094123,0.07464631151131235,,0.07579931721566079
2,1.0,500,3,0.08722978830393281,0.08217807288456339,-0.005051715419369426,-5.791273276702045,FedOGDA-D,0.08741161200313015,0.08217807288456339,,0.08253779072958593
